holdout	metric	rank	context_config	context_label	mean	sd
unseen_drug	test_synergy_auprc	5	expression_pathways_regulons	Expression + pathways + regulons	0.4233622720538313	0.017209656615274196
unseen_drug	test_synergy_auprc	6	pathways	Pathways only	0.4159699351626986	0.016152441617689042
unseen_drug	test_synergy_auprc	7	regulons	Regulons only	0.4158847721108783	0.013978697583232013
unseen_drug	test_antagonism_auprc	1	pathways	Pathways only	0.37175725288087424	0.0219562571499157
unseen_drug	test_antagonism_auprc	2	expression_regulons	Expression + regulons	0.36484758349335245	0.027037654387193417
unseen_drug	test_antagonism_auprc	3	regulons	Regulons only	0.3627437209932354	0.051957955332533834
unseen_drug	test_antagonism_auprc	4	expression_pathways	Expression + pathways	0.3590376114867047	0.01862012237064949
unseen_drug	test_antagonism_auprc	5	pathways_regulons	Pathways + regulons	0.3531829544420885	0.02810704476933628
unseen_drug	test_antagonism_auprc	6	expression_pathways_regulons	Expression + pathways + regulons	0.3487211164239685	0.026196473517137015
unseen_drug	test_antagonism_auprc	7	expression	Expression only	0.3438596834953642	0.038760207102154144
unseen_both	test_macro_f1	1	pathways	Pathways only	0.4224521809328213	0.02331413861873027
unseen_both	test_macro_f1	2	regulons	Regulons only	0.41068075192339804	0.014618306568373492
unseen_both	test_macro_f1	3	expression_regulons	Expression + regulons	0.40728661703129954	0.016376997587667603
unseen_both	test_macro_f1	4	expression	Expression only	0.4031545287474033	0.027488754762175497
unseen_both	test_macro_f1	5	pathways_regulons	Pathways + regulons	0.40085941872178654	0.005843405976324206
unseen_both	test_macro_f1	6	expression_pathways_regulons	Expression + pathways + regulons	0.39918086094504734	0.014520139030293555
unseen_both	test_macro_f1	7	expression_pathways	Expression + pathways	0.3976326930968632	0.015483987790676786
unseen_both	test_macro_auprc	1	pathways	Pathways only	0.41394650021068663	0.013112901310035731
unseen_both	test_macro_auprc	2	regulons	Regulons only	0.4044411261694744	0.011352081923396842
unseen_both	test_macro_auprc	3	expression_regulons	Expression + regulons	0.3935700228612155	0.009332490892019672
unseen_both	test_macro_auprc	4	expression	Expression only	0.3930591955605819	0.015486994119545908
unseen_both	test_macro_auprc	5	expression_pathways_regulons	Expression + pathways + regulons	0.3927831288576304	0.015276884718072946
unseen_both	test_macro_auprc	6	pathways_regulons	Pathways + regulons	0.39081503754578706	0.0040604205127783176
unseen_both	test_macro_auprc	7	expression_pathways	Expression + pathways	0.3897736531080781	0.02041727611983187
unseen_both	test_macro_ovr_auroc	1	pathways	Pathways only	0.6657722967814825	0.025418839898222155
unseen_both	test_macro_ovr_auroc	2	regulons	Regulons only	0.6194051290654934	0.0097370644671572
unseen_both	test_macro_ovr_auroc	3	expression_regulons	Expression + regulons	0.6124852445000606	0.021338395948958585
unseen_both	test_macro_ovr_auroc	4	expression	Expression only	0.6121309986917274	0.04225385373766765
unseen_both	test_macro_ovr_auroc	5	expression_pathways_regulons	Expression + pathways + regulons	0.6094458622229115	0.02857156632704313
unseen_both	test_macro_ovr_auroc	6	pathways_regulons	Pathways + regulons	0.6017850539649066	0.009944165299351205
unseen_both	test_macro_ovr_auroc	7	expression_pathways	Expression + pathways	0.59540279648234	0.03010807172849088
unseen_both	test_synergy_auprc	1	pathways	Pathways only	0.2276509490244571	0.021929360770509883
unseen_both	test_synergy_auprc	2	regulons	Regulons only	0.2102467460610052	0.015897618653066208
unseen_both	test_synergy_auprc	3	expression_pathways	Expression + pathways	0.20746112018370638	0.014609768979543263
unseen_both	test_synergy_auprc	4	expression	Expression only	0.20588997206282783	0.02654587517592656
unseen_both	test_synergy_auprc	5	pathways_regulons	Pathways + regulons	0.20537312257503887	0.008469991792874011
unseen_both	test_synergy_auprc	6	expression_pathways_regulons	Expression + pathways + regulons	0.20246740144708197	0.023873740138023115
unseen_both	test_synergy_auprc	7	expression_regulons	Expression + regulons	0.20169445986267265	0.011353961593560138
unseen_both	test_antagonism_auprc	1	pathways	Pathways only	0.1645028961071398	0.019998103472164963
unseen_both	test_antagonism_auprc	2	expression_regulons	Expression + regulons	0.15357658508153363	0.02682901378384461
unseen_both	test_antagonism_auprc	3	regulons	Regulons only	0.15326535632692462	0.0381754252136093
unseen_both	test_antagonism_auprc	4	pathways_regulons	Pathways + regulons	0.14128845512413085	0.01219661319279469
unseen_both	test_antagonism_auprc	5	expression	Expression only	0.13913398008689665	0.030575918996989797
unseen_both	test_antagonism_auprc	6	expression_pathways_regulons	Expression + pathways + regulons	0.1376889871268019	0.023245297786344127
unseen_both	test_antagonism_auprc	7	expression_pathways	Expression + pathways	0.13418028626384965	0.03417283301283231
