holdout	seed	context_a	context_b	test_macro_f1_a	test_macro_f1_b	test_macro_f1_delta_b_minus_a	test_balanced_accuracy_a	test_balanced_accuracy_b	test_balanced_accuracy_delta_b_minus_a	test_macro_ovr_auroc_a	test_macro_ovr_auroc_b	test_macro_ovr_auroc_delta_b_minus_a	test_macro_auprc_a	test_macro_auprc_b	test_macro_auprc_delta_b_minus_a	test_antagonism_f1_a	test_antagonism_f1_b	test_antagonism_f1_delta_b_minus_a	test_antagonism_auroc_a	test_antagonism_auroc_b	test_antagonism_auroc_delta_b_minus_a	test_antagonism_auprc_a	test_antagonism_auprc_b	test_antagonism_auprc_delta_b_minus_a	test_no_interaction_f1_a	test_no_interaction_f1_b	test_no_interaction_f1_delta_b_minus_a	test_no_interaction_auroc_a	test_no_interaction_auroc_b	test_no_interaction_auroc_delta_b_minus_a	test_no_interaction_auprc_a	test_no_interaction_auprc_b	test_no_interaction_auprc_delta_b_minus_a	test_synergy_f1_a	test_synergy_f1_b	test_synergy_f1_delta_b_minus_a	test_synergy_auroc_a	test_synergy_auroc_b	test_synergy_auroc_delta_b_minus_a	test_synergy_auprc_a	test_synergy_auprc_b	test_synergy_auprc_delta_b_minus_a
unseen_both	42	expression	pathways	0.4396633598221335	0.4060824491318411	-0.0335809106902924	0.45543037901253536	0.4372485793786998	-0.018181799633835538	0.6383925273954287	0.643184054766517	0.004791527371088233	0.40759320489265066	0.4055482609939424	-0.0020449438987082402	0.23889739663093415	0.2533671676751903	0.014469771044256147	0.5899904031951968	0.6341986128843035	0.04420820968910666	0.17978692696106083	0.16515517979504135	-0.014631747166019476	0.7899857309638085	0.7580609782847115	-0.031924752679097	0.6457614134269583	0.6543201491789356	0.008558735751977298	0.8119604410865299	0.8408410844058473	0.02888064331931739	0.29010695187165775	0.20681920143562135	-0.0832877504360364	0.6794257655641311	0.6410334022363118	-0.03839236332781937	0.2310322466303612	0.21064851878093865	-0.02038372784942255
unseen_both	42	expression	regulons	0.4396633598221335	0.405088922012262	-0.03457443780987152	0.45543037901253536	0.4157075655644272	-0.039722813448108185	0.6383925273954287	0.6029423844298173	-0.03545014296561144	0.40759320489265066	0.38835472058508175	-0.019238484307568915	0.23889739663093415	0.21149897330595482	-0.027398423324979326	0.5899904031951968	0.5738353792139677	-0.016155023981229144	0.17978692696106083	0.14053244616203348	-0.03925448079902735	0.7899857309638085	0.7796263988766435	-0.010359332087164996	0.6457614134269583	0.640180254949919	-0.005581158477039216	0.8119604410865299	0.8377491994999589	0.02578875841342898	0.29010695187165775	0.22414139385418758	-0.06596555801747017	0.6794257655641311	0.5948115191255652	-0.08461424643856597	0.2310322466303612	0.186782516093253	-0.044249730537108206
unseen_both	42	expression	expression_pathways	0.4396633598221335	0.4210186048638717	-0.01864475495826179	0.45543037901253536	0.44412222743264956	-0.011308151579885795	0.6383925273954287	0.6408108259722815	0.0024182985768527177	0.40759320489265066	0.4171592937668673	0.009566088874216616	0.23889739663093415	0.26187183033656064	0.02297443370562649	0.5899904031951968	0.6079105275870398	0.017920124391842984	0.17978692696106083	0.19359428326885406	0.013807356307793228	0.7899857309638085	0.7749519314805104	-0.015033799483298083	0.6457614134269583	0.6661464025749703	0.02038498914801201	0.8119604410865299	0.8474189071208498	0.0354584660343199	0.29010695187165775	0.22623205277454406	-0.06387489909711369	0.6794257655641311	0.6483755477548343	-0.031050217809296843	0.2310322466303612	0.21046469091089803	-0.02056755571946317
unseen_both	42	expression	expression_regulons	0.4396633598221335	0.3941580711921702	-0.04550528862996328	0.45543037901253536	0.40935890960669447	-0.04607146940584089	0.6383925273954287	0.5805234592341776	-0.05786906816125115	0.40759320489265066	0.37998375129385115	-0.027609453598799516	0.23889739663093415	0.17414818820984315	-0.064749208421091	0.5899904031951968	0.4783793692419171	-0.1116110339532797	0.17978692696106083	0.11629745424305979	-0.06348947271800104	0.7899857309638085	0.7535468001932621	-0.036438930770546385	0.6457614134269583	0.6185636210514752	-0.027197792375483032	0.8119604410865299	0.8139818658936071	0.0020214248070772323	0.29010695187165775	0.2547792251734055	-0.03532772669825224	0.6794257655641311	0.6446273874091405	-0.03479837815499065	0.2310322466303612	0.20967193374488652	-0.021360312885474686
unseen_both	42	expression	pathways_regulons	0.4396633598221335	0.40831651036294087	-0.03134684945919264	0.45543037901253536	0.4518097941967263	-0.003620584815809069	0.6383925273954287	0.6174685436735842	-0.020923983721844563	0.40759320489265066	0.3900734796490141	-0.01751972524363654	0.23889739663093415	0.259180790960452	0.02028339432951784	0.5899904031951968	0.6269610908871329	0.03697068769193612	0.17978692696106083	0.15637045726975102	-0.02341646969130981	0.7899857309638085	0.7394820536119946	-0.050503677351813936	0.6457614134269583	0.6275970815641969	-0.01816433186276134	0.8119604410865299	0.8027414441724096	-0.009218996914120314	0.29010695187165775	0.226286686516376	-0.06382026535528174	0.6794257655641311	0.5978474585694226	-0.08157830699470858	0.2310322466303612	0.2111085375048817	-0.0199237091254795
unseen_both	42	expression	expression_pathways_regulons	0.4396633598221335	0.39041823964941136	-0.049245120172722145	0.45543037901253536	0.39869414368568684	-0.056736235326848516	0.6383925273954287	0.5796710856988975	-0.05872144169653126	0.40759320489265066	0.38211063999674516	-0.025482564895905502	0.23889739663093415	0.1561822125813449	-0.08271518404958925	0.5899904031951968	0.5044406248921707	-0.08554977830302612	0.17978692696106083	0.12274145967515998	-0.05704546728590085	0.7899857309638085	0.778124066088887	-0.011861664874921574	0.6457614134269583	0.6337001368922126	-0.012061276534745646	0.8119604410865299	0.8341548127856381	0.022194371699108206	0.29010695187165775	0.23694844027800227	-0.05315851159365548	0.6794257655641311	0.6008724953123092	-0.0785532702518219	0.2310322466303612	0.1894356475294373	-0.04159659910092389
unseen_both	42	pathways	regulons	0.4060824491318411	0.405088922012262	-0.0009935271195791184	0.4372485793786998	0.4157075655644272	-0.021541013814272647	0.643184054766517	0.6029423844298173	-0.040241670336699675	0.4055482609939424	0.38835472058508175	-0.017193540408860675	0.2533671676751903	0.21149897330595482	-0.04186819436923547	0.6341986128843035	0.5738353792139677	-0.0603632336703358	0.16515517979504135	0.14053244616203348	-0.024622733633007876	0.7580609782847115	0.7796263988766435	0.021565420591932005	0.6543201491789356	0.640180254949919	-0.014139894229016514	0.8408410844058473	0.8377491994999589	-0.003091884905888409	0.20681920143562135	0.22414139385418758	0.017322192418566223	0.6410334022363118	0.5948115191255652	-0.0462218831107466	0.21064851878093865	0.186782516093253	-0.023866002687685656
unseen_both	42	pathways	expression_pathways	0.4060824491318411	0.4210186048638717	0.01493615573203061	0.4372485793786998	0.44412222743264956	0.0068736480539497435	0.643184054766517	0.6408108259722815	-0.0023732287942355157	0.4055482609939424	0.4171592937668673	0.011611032772924856	0.2533671676751903	0.26187183033656064	0.008504662661370344	0.6341986128843035	0.6079105275870398	-0.026288085297263675	0.16515517979504135	0.19359428326885406	0.028439103473812705	0.7580609782847115	0.7749519314805104	0.01689095319579892	0.6543201491789356	0.6661464025749703	0.011826253396034714	0.8408410844058473	0.8474189071208498	0.006577822715002513	0.20681920143562135	0.22623205277454406	0.019412851338922704	0.6410334022363118	0.6483755477548343	0.007342145518522525	0.21064851878093865	0.21046469091089803	-0.0001838278700406204
unseen_both	42	pathways	expression_regulons	0.4060824491318411	0.3941580711921702	-0.011924377939670883	0.4372485793786998	0.40935890960669447	-0.027889669772005354	0.643184054766517	0.5805234592341776	-0.06266059553233938	0.4055482609939424	0.37998375129385115	-0.025564509700091276	0.2533671676751903	0.17414818820984315	-0.07921897946534714	0.6341986128843035	0.4783793692419171	-0.15581924364238636	0.16515517979504135	0.11629745424305979	-0.04885772555198156	0.7580609782847115	0.7535468001932621	-0.004514178091449383	0.6543201491789356	0.6185636210514752	-0.03575652812746033	0.8408410844058473	0.8139818658936071	-0.026859218512240157	0.20681920143562135	0.2547792251734055	0.04796002373778416	0.6410334022363118	0.6446273874091405	0.0035939851728287175	0.21064851878093865	0.20967193374488652	-0.0009765850360521355
unseen_both	42	pathways	pathways_regulons	0.4060824491318411	0.40831651036294087	0.00223406123109976	0.4372485793786998	0.4518097941967263	0.014561214818026469	0.643184054766517	0.6174685436735842	-0.025715511092932797	0.4055482609939424	0.3900734796490141	-0.015474781344928301	0.2533671676751903	0.259180790960452	0.005813623285261693	0.6341986128843035	0.6269610908871329	-0.007237521997170537	0.16515517979504135	0.15637045726975102	-0.008784722525290334	0.7580609782847115	0.7394820536119946	-0.018578924672716934	0.6543201491789356	0.6275970815641969	-0.026723067614738638	0.8408410844058473	0.8027414441724096	-0.038099640233437704	0.20681920143562135	0.226286686516376	0.01946748508075466	0.6410334022363118	0.5978474585694226	-0.043185943666889215	0.21064851878093865	0.2111085375048817	0.0004600187239430509
unseen_both	42	pathways	expression_pathways_regulons	0.4060824491318411	0.39041823964941136	-0.015664209482429747	0.4372485793786998	0.39869414368568684	-0.03855443569301298	0.643184054766517	0.5796710856988975	-0.0635129690676195	0.4055482609939424	0.38211063999674516	-0.02343762099719726	0.2533671676751903	0.1561822125813449	-0.0971849550938454	0.6341986128843035	0.5044406248921707	-0.12975798799213278	0.16515517979504135	0.12274145967515998	-0.04241372011988137	0.7580609782847115	0.778124066088887	0.020063087804175428	0.6543201491789356	0.6337001368922126	-0.020620012286722944	0.8408410844058473	0.8341548127856381	-0.006686271620209183	0.20681920143562135	0.23694844027800227	0.030129238842380918	0.6410334022363118	0.6008724953123092	-0.04016090692400254	0.21064851878093865	0.1894356475294373	-0.021212871251501342
unseen_both	42	regulons	expression_pathways	0.405088922012262	0.4210186048638717	0.015929682851609728	0.4157075655644272	0.44412222743264956	0.02841466186822239	0.6029423844298173	0.6408108259722815	0.03786844154246416	0.38835472058508175	0.4171592937668673	0.02880457318178553	0.21149897330595482	0.26187183033656064	0.05037285703060582	0.5738353792139677	0.6079105275870398	0.03407514837307213	0.14053244616203348	0.19359428326885406	0.05306183710682058	0.7796263988766435	0.7749519314805104	-0.004674467396133086	0.640180254949919	0.6661464025749703	0.025966147625051228	0.8377491994999589	0.8474189071208498	0.009669707620890922	0.22414139385418758	0.22623205277454406	0.0020906589203564807	0.5948115191255652	0.6483755477548343	0.05356402862926912	0.186782516093253	0.21046469091089803	0.023682174817645035
unseen_both	42	regulons	expression_regulons	0.405088922012262	0.3941580711921702	-0.010930850820091764	0.4157075655644272	0.40935890960669447	-0.006348655957732707	0.6029423844298173	0.5805234592341776	-0.022418925195639705	0.38835472058508175	0.37998375129385115	-0.008370969291230601	0.21149897330595482	0.17414818820984315	-0.03735078509611167	0.5738353792139677	0.4783793692419171	-0.09545600997205056	0.14053244616203348	0.11629745424305979	-0.024234991918973686	0.7796263988766435	0.7535468001932621	-0.02607959868338139	0.640180254949919	0.6185636210514752	-0.021616633898443816	0.8377491994999589	0.8139818658936071	-0.023767333606351748	0.22414139385418758	0.2547792251734055	0.030637831319217934	0.5948115191255652	0.6446273874091405	0.049815868283575315	0.186782516093253	0.20967193374488652	0.02288941765163352
unseen_both	42	regulons	pathways_regulons	0.405088922012262	0.40831651036294087	0.0032275883506788783	0.4157075655644272	0.4518097941967263	0.036102228632299116	0.6029423844298173	0.6174685436735842	0.014526159243766879	0.38835472058508175	0.3900734796490141	0.0017187590639323735	0.21149897330595482	0.259180790960452	0.047681817654497166	0.5738353792139677	0.6269610908871329	0.053125711673165266	0.14053244616203348	0.15637045726975102	0.015838011107717542	0.7796263988766435	0.7394820536119946	-0.04014434526464894	0.640180254949919	0.6275970815641969	-0.012583173385722124	0.8377491994999589	0.8027414441724096	-0.035007755327549295	0.22414139385418758	0.226286686516376	0.002145292662188436	0.5948115191255652	0.5978474585694226	0.003035939443857383	0.186782516093253	0.2111085375048817	0.024326021411628707
unseen_both	42	regulons	expression_pathways_regulons	0.405088922012262	0.39041823964941136	-0.014670682362850629	0.4157075655644272	0.39869414368568684	-0.01701342187874033	0.6029423844298173	0.5796710856988975	-0.02327129873091982	0.38835472058508175	0.38211063999674516	-0.006244080588336587	0.21149897330595482	0.1561822125813449	-0.05531676072460992	0.5738353792139677	0.5044406248921707	-0.06939475432179698	0.14053244616203348	0.12274145967515998	-0.017790986486873495	0.7796263988766435	0.778124066088887	-0.0015023327877565773	0.640180254949919	0.6337001368922126	-0.00648011805770643	0.8377491994999589	0.8341548127856381	-0.003594386714320774	0.22414139385418758	0.23694844027800227	0.012807046423814694	0.5948115191255652	0.6008724953123092	0.00606097618674406	0.186782516093253	0.1894356475294373	0.002653131436184314
unseen_both	42	expression_pathways	expression_regulons	0.4210186048638717	0.3941580711921702	-0.026860533671701492	0.44412222743264956	0.40935890960669447	-0.0347633178259551	0.6408108259722815	0.5805234592341776	-0.060287366738103865	0.4171592937668673	0.37998375129385115	-0.03717554247301613	0.26187183033656064	0.17414818820984315	-0.08772364212671749	0.6079105275870398	0.4783793692419171	-0.1295311583451227	0.19359428326885406	0.11629745424305979	-0.07729682902579427	0.7749519314805104	0.7535468001932621	-0.021405131287248302	0.6661464025749703	0.6185636210514752	-0.047582781523495044	0.8474189071208498	0.8139818658936071	-0.03343704122724267	0.22623205277454406	0.2547792251734055	0.028547172398861453	0.6483755477548343	0.6446273874091405	-0.0037481603456938073	0.21046469091089803	0.20967193374488652	-0.0007927571660115151
unseen_both	42	expression_pathways	pathways_regulons	0.4210186048638717	0.40831651036294087	-0.01270209450093085	0.44412222743264956	0.4518097941967263	0.007687566764076725	0.6408108259722815	0.6174685436735842	-0.02334228229869728	0.4171592937668673	0.3900734796490141	-0.027085814117853158	0.26187183033656064	0.259180790960452	-0.0026910393761086504	0.6079105275870398	0.6269610908871329	0.019050563300093137	0.19359428326885406	0.15637045726975102	-0.03722382599910304	0.7749519314805104	0.7394820536119946	-0.03546987786851585	0.6661464025749703	0.6275970815641969	-0.03854932101077335	0.8474189071208498	0.8027414441724096	-0.044677462948440216	0.22623205277454406	0.226286686516376	5.463374183195535e-05	0.6483755477548343	0.5978474585694226	-0.05052808918541174	0.21046469091089803	0.2111085375048817	0.0006438465939836713
unseen_both	42	expression_pathways	expression_pathways_regulons	0.4210186048638717	0.39041823964941136	-0.030600365214460357	0.44412222743264956	0.39869414368568684	-0.04542808374696272	0.6408108259722815	0.5796710856988975	-0.06113974027338398	0.4171592937668673	0.38211063999674516	-0.03504865377012212	0.26187183033656064	0.1561822125813449	-0.10568961775521574	0.6079105275870398	0.5044406248921707	-0.10346990269486911	0.19359428326885406	0.12274145967515998	-0.07085282359369408	0.7749519314805104	0.778124066088887	0.003172134608376509	0.6661464025749703	0.6337001368922126	-0.03244626568275766	0.8474189071208498	0.8341548127856381	-0.013264094335211696	0.22623205277454406	0.23694844027800227	0.010716387503458213	0.6483755477548343	0.6008724953123092	-0.04750305244252506	0.21046469091089803	0.1894356475294373	-0.02102904338146072
