holdout	context_config	context_label	n_seeds	mean_total_parameters	test_macro_f1_mean	test_macro_f1_sd	test_macro_f1_median	test_macro_f1_min	test_macro_f1_max	test_balanced_accuracy_mean	test_balanced_accuracy_sd	test_balanced_accuracy_median	test_balanced_accuracy_min	test_balanced_accuracy_max	test_macro_ovr_auroc_mean	test_macro_ovr_auroc_sd	test_macro_ovr_auroc_median	test_macro_ovr_auroc_min	test_macro_ovr_auroc_max	test_macro_auprc_mean	test_macro_auprc_sd	test_macro_auprc_median	test_macro_auprc_min	test_macro_auprc_max	test_antagonism_f1_mean	test_antagonism_f1_sd	test_antagonism_f1_median	test_antagonism_f1_min	test_antagonism_f1_max	test_antagonism_auroc_mean	test_antagonism_auroc_sd	test_antagonism_auroc_median	test_antagonism_auroc_min	test_antagonism_auroc_max	test_antagonism_auprc_mean	test_antagonism_auprc_sd	test_antagonism_auprc_median	test_antagonism_auprc_min	test_antagonism_auprc_max	test_no_interaction_f1_mean	test_no_interaction_f1_sd	test_no_interaction_f1_median	test_no_interaction_f1_min	test_no_interaction_f1_max	test_no_interaction_auroc_mean	test_no_interaction_auroc_sd	test_no_interaction_auroc_median	test_no_interaction_auroc_min	test_no_interaction_auroc_max	test_no_interaction_auprc_mean	test_no_interaction_auprc_sd	test_no_interaction_auprc_median	test_no_interaction_auprc_min	test_no_interaction_auprc_max	test_synergy_f1_mean	test_synergy_f1_sd	test_synergy_f1_median	test_synergy_f1_min	test_synergy_f1_max	test_synergy_auroc_mean	test_synergy_auroc_sd	test_synergy_auroc_median	test_synergy_auroc_min	test_synergy_auroc_max	test_synergy_auprc_mean	test_synergy_auprc_sd	test_synergy_auprc_median	test_synergy_auprc_min	test_synergy_auprc_max
unseen_both	expression	Expression only	5	8498467.0	0.4031545287474033	0.027488754762175497	0.38980490312911903	0.37784001834375985	0.4396633598221335	0.4176415943403903	0.0329343115220462	0.3992604749546538	0.3857975945300482	0.45543037901253536	0.6121309986917274	0.04225385373766765	0.6033276318019545	0.5733625808279316	0.6709749829708214	0.3930591955605819	0.015486994119545908	0.39066812455528727	0.37459571681971754	0.41003175444186474	0.20279836020856107	0.03522164631431324	0.20246913580246914	0.16213847502191062	0.23889739663093415	0.5513846485628515	0.08108706838983995	0.5535379645284841	0.45527852299782623	0.6628357803388427	0.13913398008689665	0.030575918996989797	0.1379327479045397	0.10617274564989321	0.17978692696106083	0.780547168781633	0.016642665258102447	0.7899857309638085	0.7611290670114199	0.7968451639684516	0.6492941581631307	0.022284950664671403	0.6457614134269583	0.6168970343481477	0.6757931316599309	0.8341536345320211	0.016936214781537878	0.8359907559714841	0.8119604410865299	0.8533741783473583	0.22611805725201578	0.06271391500465939	0.24614716735402647	0.15087444531453928	0.29010695187165775	0.6357141893492001	0.04624665622318209	0.6516162540415293	0.5802250700251462	0.6794257655641311	0.20588997206282783	0.02654587517592656	0.21818813355023722	0.17402027647981336	0.2310322466303612
unseen_both	expression_pathways	Expression + pathways	5	8522403.0	0.3976326930968632	0.015483987790676786	0.3993473867789095	0.3828599599015674	0.4210186048638717	0.41510642406022014	0.01638201411963783	0.40840067767042093	0.4055248001313824	0.44412222743264956	0.59540279648234	0.03010807172849088	0.5821680096656333	0.5665228015583125	0.6408108259722815	0.3897736531080781	0.02041727611983187	0.3865882011680993	0.3693416198726791	0.4171592937668673	0.19288936722490888	0.0443029479532766	0.1903199343724364	0.1482537419814683	0.26187183033656064	0.5257602955384562	0.057833057894709466	0.511746144025396	0.46228205548462786	0.6079105275870398	0.13418028626384965	0.03417283301283231	0.12577304601446815	0.1109609486151615	0.19359428326885406	0.762495364564626	0.03001091240016339	0.7749519314805104	0.7249615489007509	0.7938084112149533	0.6381115970872578	0.032973194725377665	0.6294520949683131	0.5958271864132993	0.6763766337745216	0.8276795528766783	0.029301244257977966	0.8238660133178254	0.7894507573223969	0.8645206733490487	0.2375133475010549	0.016550788000762116	0.22980392156862745	0.22092520536100302	0.25598000714030705	0.6223364968213059	0.02941571128079493	0.6349093158826533	0.577692756929443	0.6483755477548343	0.20746112018370638	0.014609768979543263	0.21046469091089803	0.1921519665147728	0.22493764157131096
unseen_both	expression_pathways_regulons	Expression + pathways + regulons	5	8752995.0	0.39918086094504734	0.014520139030293555	0.39452302046325943	0.38807960619460574	0.42410986019613767	0.41843080170112346	0.022809103950549026	0.4076658095796182	0.39869414368568684	0.45425588488451796	0.6094458622229115	0.02857156632704313	0.6004148316382708	0.5796710856988975	0.6444465211601081	0.3927831288576304	0.015276884718072946	0.3873933657874729	0.3769723598590265	0.4127604384019023	0.20118521908250192	0.04356453313421761	0.19765807962529275	0.1561822125813449	0.2723905723905724	0.5519057442807356	0.0703943987942365	0.5410695800697009	0.4794604870432352	0.6600310979607329	0.1376889871268019	0.023245297786344127	0.13366822806832132	0.1182572384993916	0.17697514658965263	0.7647832514426846	0.037173346838846315	0.778124066088887	0.7096864895262196	0.8066321072986093	0.6527786632356951	0.01730153247469239	0.6578635612757393	0.6337001368922126	0.6763756708652024	0.8381929979990075	0.019286049372388907	0.8341548127856381	0.8116871978741877	0.8620117539102485	0.23157411230995578	0.020642604356161588	0.22285597881442248	0.2142436727486757	0.2652084757347915	0.6236531791523039	0.037669096547373014	0.6154449042438521	0.5888548009973132	0.6858264824629976	0.20246740144708197	0.023873740138023115	0.1929069360890124	0.18242701890140783	0.242601333227137
unseen_both	expression_regulons	Expression + regulons	5	8729059.0	0.40728661703129954	0.016376997587667603	0.4074844492759455	0.3909265843692107	0.4320265869732449	0.4245097017178363	0.022996568537796143	0.4236711703440314	0.3961287461016105	0.4535969984002972	0.6124852445000606	0.021338395948958585	0.6108073689287242	0.5805234592341776	0.6351382525715782	0.3935700228612155	0.009332490892019672	0.39395033838077703	0.37998375129385115	0.40449586981405466	0.22540307016117217	0.04295246758828736	0.22554485554992398	0.17414818820984315	0.2861977278220933	0.5550306062592734	0.0521770259588382	0.5524440581760464	0.4783793692419171	0.6232639056623305	0.15357658508153363	0.02682901378384461	0.15228414044227187	0.11629745424305979	0.1917846804470861	0.7721952179449171	0.027162202491502568	0.782331705245275	0.7347591627821954	0.7998362333674514	0.6404995514935854	0.012942200040390294	0.6466308682101183	0.6185636210514752	0.6503058534922586	0.8254390236394403	0.01637262958247449	0.8186311452354349	0.8087066037559749	0.8439992332256322	0.22426156298780925	0.03092016995444678	0.22763561924257933	0.17485029940119762	0.2547792251734055	0.6419255757473229	0.024574497462483393	0.6343468776986148	0.6206265736754646	0.6828940794600141	0.20169445986267265	0.011353961593560138	0.19733363579974494	0.18994839679898787	0.21720423577425985
unseen_both	pathways	Pathways only	5	8248035.0	0.4224521809328213	0.02331413861873027	0.42358592019605257	0.3934739067413724	0.451183198651232	0.4537889228504686	0.022367504147254764	0.45551415777217513	0.42670406262708266	0.482264471152354	0.6657722967814825	0.025418839898222155	0.6693834194095182	0.6370972306193874	0.6967947771888472	0.41394650021068663	0.013112901310035731	0.41191716866447003	0.4015344714155567	0.43532275522748387	0.24764660720360854	0.026638910953091774	0.2533671676751903	0.2048466489965922	0.27096461463887545	0.6433622890859529	0.044382919056337886	0.6478110658707429	0.5755452063420863	0.6961511205617474	0.1645028961071398	0.019998103472164963	0.16515517979504135	0.13243917034816372	0.18382983852914409	0.7521297994928691	0.02026586187517639	0.7580609782847115	0.7220337407631175	0.7733961676966167	0.6826946104625707	0.02069026991955971	0.6840507907871851	0.6543201491789356	0.7119350328431623	0.849685655500463	0.013872184985221202	0.8445665575711341	0.8346026421975354	0.8670344431953001	0.2675801361019862	0.03931806785208028	0.2816699516215732	0.20681920143562135	0.30918881361820394	0.6712599907959241	0.028531600835139906	0.6738603210583456	0.6410334022363118	0.7153438589524949	0.2276509490244571	0.021929360770509883	0.22853411427535106	0.2051298007032063	0.2607548770208096
unseen_both	pathways_regulons	Pathways + regulons	5	8478627.0	0.40085941872178654	0.005843405976324206	0.40195912926595817	0.39258856667771075	0.40831651036294087	0.41979757345401525	0.019941790297185704	0.4156858064645497	0.3984803393571705	0.4518097941967263	0.6017850539649066	0.009944165299351205	0.6004322306691233	0.5902926094714825	0.6174685436735842	0.39081503754578706	0.0040604205127783176	0.3900734796490141	0.38531027063376805	0.39634476477450403	0.2108818663011843	0.03077188211330438	0.2092534174553102	0.17607361963190185	0.259180790960452	0.5639708645319347	0.040907593315887725	0.5604955833132051	0.5132691677305822	0.6269610908871329	0.14128845512413085	0.01219661319279469	0.1427564306823063	0.12700860939146014	0.15637045726975102	0.7634469325703303	0.03152047892828671	0.7721606648199446	0.7228369056988102	0.7989441624365482	0.6326477230585719	0.01817665963671136	0.63269583293875	0.6060923230756696	0.6552425430418374	0.8257835349381916	0.01669012618857052	0.8223696065935738	0.8027414441724096	0.8469206670480988	0.2282494572938451	0.01900522463158782	0.226286686516376	0.2078900709219858	0.2592037314675995	0.6087365743042132	0.017799728306960645	0.60066910895535	0.5978474585694226	0.6398234220513042	0.20537312257503887	0.008469991792874011	0.20538229312087308	0.19304628814801614	0.2150067279434326
unseen_both	regulons	Regulons only	5	8454691.0	0.41068075192339804	0.014618306568373492	0.405088922012262	0.3945246464916761	0.4269806174864211	0.42437138836906885	0.01636619982941849	0.4157075655644272	0.40827186833309764	0.44385355732598103	0.6194051290654934	0.0097370644671572	0.6213523333086308	0.6029423844298173	0.6268024014249084	0.4044411261694744	0.011352081923396842	0.4069254411578666	0.38835472058508175	0.41857061522472655	0.22075384844641815	0.028869909010184196	0.21149897330595482	0.1978448275862069	0.2698907956318253	0.5569174847313757	0.03842520640011381	0.5510934534695145	0.505824591974052	0.6098973465373865	0.15326535632692462	0.0381754252136093	0.14053244616203348	0.1191423594148393	0.21875989190016543	0.7790236540513209	0.0034271986725369374	0.7796263988766435	0.7744133554788978	0.7827163656547543	0.6576092987901756	0.02044757767635757	0.6647951163416346	0.6336280756893615	0.6835603768843822	0.8498112761204935	0.012678254185480624	0.8569675898705325	0.8343675462473952	0.8605718031781971	0.23226475327245505	0.02749427628430539	0.22699386503067484	0.2030127462340672	0.2777222777222777	0.6436886036749287	0.03643841287263383	0.6623895501485968	0.5948115191255652	0.6746720310674582	0.2102467460610052	0.015897618653066208	0.21540662737725286	0.186782516093253	0.2275830655702324
unseen_cell_line	expression	Expression only	5	8498467.0	0.45027329374769715	0.015199473567430842	0.4559978010813271	0.43376853156699324	0.46654928313633365	0.5362016679656112	0.005272651105475466	0.5384139093800777	0.5301905898962938	0.5417930108834929	0.6952751487318921	0.010116185964918823	0.6909686480200216	0.6846778876885705	0.7092514555320083	0.44693317796121407	0.0036369847546313104	0.44781901146557196	0.4419341996542827	0.4516553430806685	0.28265318871023914	0.014383994960708751	0.28370190851257193	0.2608342518999826	0.3008418837148119	0.6297223901412071	0.025218370079602564	0.6293679038581705	0.5922876589082661	0.6554671934398045	0.19459086498392736	0.01445148140854097	0.1989554312982885	0.1795052376226563	0.2114912268527822	0.7260870662865637	0.035176862758726085	0.7406465081384349	0.6820322956319201	0.766652517725479	0.7686705381819678	0.0070433766526804675	0.7681037188585321	0.7580960447349903	0.7751626892848937	0.9242041691399496	0.0030712700904959155	0.9252060579150985	0.9201667065357981	0.9275417979288773	0.3420796262462888	0.012039324202911005	0.34548300536672627	0.3232540988256652	0.3541860033413774	0.6874325178725015	0.03192805594974693	0.6795309198881146	0.6459267822443895	0.7302827438793222	0.22200449975976505	0.015357969405064703	0.22400576963801616	0.2066804611287617	0.2419694054292866
unseen_cell_line	expression_pathways	Expression + pathways	5	8522403.0	0.45286756646069437	0.015944667534513714	0.45421542444801516	0.4292815466234554	0.47175895819133573	0.5336974052958985	0.014763555365848006	0.5297812577358698	0.5219710508081264	0.5584863977609401	0.6916960388029579	0.01020031439318033	0.6866703486225217	0.681830916405953	0.7038119286721939	0.45075457432944	0.005073726145826815	0.4511994086594173	0.4446817244763508	0.4556836937668847	0.2827293860969248	0.02198476973427844	0.2865013774104683	0.24842053609765075	0.3043775225085377	0.6298456976883113	0.022788216562675122	0.6376989074082364	0.5905232520276031	0.6461790837938299	0.2004178534638772	0.01617556562764197	0.2052235450681038	0.18179118509981104	0.22089723499708075	0.7342975427014343	0.028094641489866182	0.7500081718040075	0.6941661555237512	0.7587722816756782	0.7690529843579453	0.01385551747904504	0.7644843649781002	0.7563335885281888	0.7874803192767699	0.9239242047968175	0.005170617029462977	0.9222547562113078	0.9183763689704438	0.9310865479613292	0.3415757705837239	0.020967251375698846	0.34525794824896444	0.30588708595950115	0.360891180261462	0.6761894343626171	0.03133764121473037	0.6862565593315756	0.6342799780258555	0.7093481285302585	0.22792166472762543	0.013518676164331174	0.22941934159620309	0.2054270488608925	0.23957278002124263
unseen_cell_line	expression_pathways_regulons	Expression + pathways + regulons	5	8752995.0	0.44741490427458663	0.017901571626144783	0.44667886986094024	0.42010590778388385	0.4688605845447704	0.5239326446169933	0.017133496880126088	0.5148305034278974	0.5078982099185431	0.5451878113720753	0.6903476562266724	0.018335679555495504	0.6973435774388695	0.6692095063303487	0.7112271039360983	0.4400855213917102	0.00929838007643782	0.4359556346018218	0.4317682809908625	0.4537461713837965	0.27801453034655815	0.02724855261423725	0.2677982659665405	0.24541806745472292	0.31574110542208217	0.6329781864097394	0.029019160015223797	0.6515077033060787	0.590182908492537	0.6561894040172283	0.1823357060024517	0.025922914713517663	0.1709763783813893	0.16050900388865663	0.21698013090151747	0.7342184555366799	0.030624936730796	0.7396767248304894	0.6828860812362952	0.7633978207694018	0.7674548046937384	0.014914492756347802	0.7658563087636553	0.7508045669336054	0.7831601100900466	0.9235945229340585	0.005536807804341166	0.921280202423294	0.9176713929818949	0.9296132889715739	0.33001172694052194	0.005403710063645557	0.3291020844468199	0.3235294117647059	0.3379707363876229	0.6706099775765395	0.023609426666068765	0.6621372070000457	0.6528020991013702	0.7116355990274117	0.21432633523862038	0.007729590522908802	0.21464509427829823	0.20450335040774756	0.22597127612820386
