holdout	seed	context_config	context_label	test_macro_f1_baseline	test_macro_f1_context	test_macro_f1_delta_vs_baseline	test_balanced_accuracy_baseline	test_balanced_accuracy_context	test_balanced_accuracy_delta_vs_baseline	test_macro_ovr_auroc_baseline	test_macro_ovr_auroc_context	test_macro_ovr_auroc_delta_vs_baseline	test_macro_auprc_baseline	test_macro_auprc_context	test_macro_auprc_delta_vs_baseline	test_antagonism_f1_baseline	test_antagonism_f1_context	test_antagonism_f1_delta_vs_baseline	test_antagonism_auroc_baseline	test_antagonism_auroc_context	test_antagonism_auroc_delta_vs_baseline	test_antagonism_auprc_baseline	test_antagonism_auprc_context	test_antagonism_auprc_delta_vs_baseline	test_no_interaction_f1_baseline	test_no_interaction_f1_context	test_no_interaction_f1_delta_vs_baseline	test_no_interaction_auroc_baseline	test_no_interaction_auroc_context	test_no_interaction_auroc_delta_vs_baseline	test_no_interaction_auprc_baseline	test_no_interaction_auprc_context	test_no_interaction_auprc_delta_vs_baseline	test_synergy_f1_baseline	test_synergy_f1_context	test_synergy_f1_delta_vs_baseline	test_synergy_auroc_baseline	test_synergy_auroc_context	test_synergy_auroc_delta_vs_baseline	test_synergy_auprc_baseline	test_synergy_auprc_context	test_synergy_auprc_delta_vs_baseline
unseen_both	42	expression	Expression only	0.4210186048638717	0.4396633598221335	0.01864475495826179	0.44412222743264956	0.45543037901253536	0.011308151579885795	0.6408108259722815	0.6383925273954287	-0.0024182985768527177	0.4171592937668673	0.40759320489265066	-0.009566088874216616	0.26187183033656064	0.23889739663093415	-0.02297443370562649	0.6079105275870398	0.5899904031951968	-0.017920124391842984	0.19359428326885406	0.17978692696106083	-0.013807356307793228	0.7749519314805104	0.7899857309638085	0.015033799483298083	0.6661464025749703	0.6457614134269583	-0.02038498914801201	0.8474189071208498	0.8119604410865299	-0.0354584660343199	0.22623205277454406	0.29010695187165775	0.06387489909711369	0.6483755477548343	0.6794257655641311	0.031050217809296843	0.21046469091089803	0.2310322466303612	0.02056755571946317
unseen_both	42	pathways	Pathways only	0.4210186048638717	0.4060824491318411	-0.01493615573203061	0.44412222743264956	0.4372485793786998	-0.0068736480539497435	0.6408108259722815	0.643184054766517	0.0023732287942355157	0.4171592937668673	0.4055482609939424	-0.011611032772924856	0.26187183033656064	0.2533671676751903	-0.008504662661370344	0.6079105275870398	0.6341986128843035	0.026288085297263675	0.19359428326885406	0.16515517979504135	-0.028439103473812705	0.7749519314805104	0.7580609782847115	-0.01689095319579892	0.6661464025749703	0.6543201491789356	-0.011826253396034714	0.8474189071208498	0.8408410844058473	-0.006577822715002513	0.22623205277454406	0.20681920143562135	-0.019412851338922704	0.6483755477548343	0.6410334022363118	-0.007342145518522525	0.21046469091089803	0.21064851878093865	0.0001838278700406204
unseen_both	42	regulons	Regulons only	0.4210186048638717	0.405088922012262	-0.015929682851609728	0.44412222743264956	0.4157075655644272	-0.02841466186822239	0.6408108259722815	0.6029423844298173	-0.03786844154246416	0.4171592937668673	0.38835472058508175	-0.02880457318178553	0.26187183033656064	0.21149897330595482	-0.05037285703060582	0.6079105275870398	0.5738353792139677	-0.03407514837307213	0.19359428326885406	0.14053244616203348	-0.05306183710682058	0.7749519314805104	0.7796263988766435	0.004674467396133086	0.6661464025749703	0.640180254949919	-0.025966147625051228	0.8474189071208498	0.8377491994999589	-0.009669707620890922	0.22623205277454406	0.22414139385418758	-0.0020906589203564807	0.6483755477548343	0.5948115191255652	-0.05356402862926912	0.21046469091089803	0.186782516093253	-0.023682174817645035
unseen_both	42	expression_regulons	Expression + regulons	0.4210186048638717	0.3941580711921702	-0.026860533671701492	0.44412222743264956	0.40935890960669447	-0.0347633178259551	0.6408108259722815	0.5805234592341776	-0.060287366738103865	0.4171592937668673	0.37998375129385115	-0.03717554247301613	0.26187183033656064	0.17414818820984315	-0.08772364212671749	0.6079105275870398	0.4783793692419171	-0.1295311583451227	0.19359428326885406	0.11629745424305979	-0.07729682902579427	0.7749519314805104	0.7535468001932621	-0.021405131287248302	0.6661464025749703	0.6185636210514752	-0.047582781523495044	0.8474189071208498	0.8139818658936071	-0.03343704122724267	0.22623205277454406	0.2547792251734055	0.028547172398861453	0.6483755477548343	0.6446273874091405	-0.0037481603456938073	0.21046469091089803	0.20967193374488652	-0.0007927571660115151
unseen_both	42	pathways_regulons	Pathways + regulons	0.4210186048638717	0.40831651036294087	-0.01270209450093085	0.44412222743264956	0.4518097941967263	0.007687566764076725	0.6408108259722815	0.6174685436735842	-0.02334228229869728	0.4171592937668673	0.3900734796490141	-0.027085814117853158	0.26187183033656064	0.259180790960452	-0.0026910393761086504	0.6079105275870398	0.6269610908871329	0.019050563300093137	0.19359428326885406	0.15637045726975102	-0.03722382599910304	0.7749519314805104	0.7394820536119946	-0.03546987786851585	0.6661464025749703	0.6275970815641969	-0.03854932101077335	0.8474189071208498	0.8027414441724096	-0.044677462948440216	0.22623205277454406	0.226286686516376	5.463374183195535e-05	0.6483755477548343	0.5978474585694226	-0.05052808918541174	0.21046469091089803	0.2111085375048817	0.0006438465939836713
unseen_both	42	expression_pathways_regulons	Expression + pathways + regulons	0.4210186048638717	0.39041823964941136	-0.030600365214460357	0.44412222743264956	0.39869414368568684	-0.04542808374696272	0.6408108259722815	0.5796710856988975	-0.06113974027338398	0.4171592937668673	0.38211063999674516	-0.03504865377012212	0.26187183033656064	0.1561822125813449	-0.10568961775521574	0.6079105275870398	0.5044406248921707	-0.10346990269486911	0.19359428326885406	0.12274145967515998	-0.07085282359369408	0.7749519314805104	0.778124066088887	0.003172134608376509	0.6661464025749703	0.6337001368922126	-0.03244626568275766	0.8474189071208498	0.8341548127856381	-0.013264094335211696	0.22623205277454406	0.23694844027800227	0.010716387503458213	0.6483755477548343	0.6008724953123092	-0.04750305244252506	0.21046469091089803	0.1894356475294373	-0.02102904338146072
unseen_both	43	expression	Expression only	0.4007635851570344	0.4250681140801842	0.02430452892314977	0.40840067767042093	0.4510759899664934	0.042675312296072465	0.6103311290391732	0.6709749829708214	0.06064385393164817	0.4034261895125362	0.41003175444186474	0.006605564929328511	0.1903199343724364	0.23681732580037665	0.04649739142794024	0.511746144025396	0.6628357803388427	0.15108963631344674	0.1288076495481822	0.15800136191113456	0.029193712362952373	0.7821668995300394	0.7640429417791439	-0.01812395775089548	0.6763766337745216	0.6757931316599309	-0.0005835021145906838	0.8645206733490487	0.8465821451746963	-0.017938528174352375	0.22980392156862745	0.2743440746610319	0.044540153092404444	0.642870609317602	0.6742960369136903	0.03142542759608835	0.21695024564037776	0.22551175623976327	0.008561510599385508
unseen_both	43	pathways	Pathways only	0.4007635851570344	0.3934739067413724	-0.0072896784156620265	0.40840067767042093	0.42670406262708266	0.018303384956661728	0.6103311290391732	0.6370972306193874	0.026766101580214197	0.4034261895125362	0.4015344714155567	-0.0018917180969795222	0.1903199343724364	0.2048466489965922	0.014526714624155779	0.511746144025396	0.5755452063420863	0.0637990623166903	0.1288076495481822	0.13243917034816372	0.0036315207999815247	0.7821668995300394	0.7220337407631175	-0.060133158766921824	0.6763766337745216	0.6840507907871851	0.007674157012663496	0.8645206733490487	0.8670344431953001	0.0025137698462514013	0.22980392156862745	0.2535413304644074	0.023737408895779966	0.642870609317602	0.6516956947288908	0.008825085411288791	0.21695024564037776	0.2051298007032063	-0.011820444937171465
unseen_both	43	regulons	Regulons only	0.4007635851570344	0.40153118387031167	0.000767598713277251	0.40840067767042093	0.4139037086370536	0.005503030966632683	0.6103311290391732	0.6268024014249084	0.016471272385735203	0.4034261895125362	0.4092149488934	0.005788759380863762	0.1903199343724364	0.20318633110136228	0.012866396728925866	0.511746144025396	0.5439366524619578	0.03219050843656179	0.1288076495481822	0.13948997793177037	0.01068232838358818	0.7821668995300394	0.7744133554788978	-0.007753544051141592	0.6763766337745216	0.6647951163416346	-0.011581517432887045	0.8645206733490487	0.8605718031781971	-0.003948870170851548	0.22980392156862745	0.22699386503067484	-0.0028100565379526043	0.642870609317602	0.6716754354711328	0.02880482615353086	0.21695024564037776	0.2275830655702324	0.010632819929854626
unseen_both	43	expression_regulons	Expression + regulons	0.4007635851570344	0.41183739334592606	0.011073808188891643	0.40840067767042093	0.4236711703440314	0.01527049267361047	0.6103311290391732	0.628547997042773	0.018216868003599784	0.4034261895125362	0.40449586981405466	0.0010696803015184386	0.1903199343724364	0.22554485554992398	0.03522492117748757	0.511746144025396	0.5524440581760464	0.04069791415065038	0.1288076495481822	0.15228414044227187	0.02347649089408968	0.7821668995300394	0.782331705245275	0.00016480571523558307	0.6763766337745216	0.6503058534922586	-0.026070780282263062	0.8645206733490487	0.8439992332256322	-0.0205214401234165	0.22980392156862745	0.22763561924257933	-0.002168302326048116	0.642870609317602	0.6828940794600141	0.04002347014241214	0.21695024564037776	0.21720423577425985	0.0002539901338820816
