holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_cell_line	pathways	Pathways only	test_synergy_auroc	5	0.042376972820196326	0.06409951849363649	0.011597969091804772	-0.020638117790343413	0.1401064756938568	4	1	3.0	0.3125
unseen_cell_line	pathways	Pathways only	test_synergy_auprc	5	0.017811741912689277	0.032552835667147006	0.011391124144188386	-0.012196671391307201	0.07330087236361801	4	1	3.0	0.3125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_macro_f1	5	0.020828542168973986	0.016362247106681313	0.01884016291034929	0.0043886628683467155	0.0473177399792708	5	0	0.0	0.0625
unseen_cell_line	pathways_regulons	Pathways + regulons	test_balanced_accuracy	5	0.01250490116230063	0.03111782909589233	0.03389308759966536	-0.0218048397001277	0.0366583365279225	3	2	3.0	0.3125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_macro_ovr_auroc	5	0.007846904028727609	0.006871012594250166	0.008240780852378782	-0.0006494724495376136	0.016984741460163377	4	1	1.0	0.125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_macro_auprc	5	0.0020193214691064166	0.0071963120794470425	0.004293458809292439	-0.007004952766830552	0.01100685825724007	3	2	5.0	0.625
unseen_cell_line	pathways_regulons	Pathways + regulons	test_antagonism_f1	5	0.00792828351791799	0.029953793824580282	-0.011139654568999124	-0.015148815372202695	0.047689336628314594	2	3	6.0	0.8125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_antagonism_auroc	5	-0.02738440346727087	0.02937668737056102	-0.024741542293793328	-0.0598891986701805	0.01666395393917197	1	4	1.0	0.125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_antagonism_auprc	5	-0.006336383069339724	0.027249385984778444	0.0005901788642720951	-0.052473488074780805	0.015147630964700232	3	2	7.0	1.0
unseen_cell_line	pathways_regulons	Pathways + regulons	test_no_interaction_f1	5	0.03384979327383009	0.03903716210638276	0.028806479687382702	-0.019727067230975392	0.07418125061627356	4	1	2.0	0.1875
unseen_cell_line	pathways_regulons	Pathways + regulons	test_no_interaction_auroc	5	0.013975360095943667	0.016352117265142154	0.016778067258305662	-0.006428723408617554	0.03207899302714212	4	1	2.0	0.1875
unseen_cell_line	pathways_regulons	Pathways + regulons	test_no_interaction_auprc	5	0.005773542353627504	0.006418676215494161	0.005134809611392899	-0.002422766744457072	0.01391106416784027	4	1	2.0	0.1875
unseen_cell_line	pathways_regulons	Pathways + regulons	test_synergy_f1	5	0.020707549715174033	0.02921422106809817	0.018015260406286038	-0.004500836513343265	0.0677779901595627	3	2	3.0	0.3125
unseen_cell_line	pathways_regulons	Pathways + regulons	test_synergy_auroc	5	0.03694975545750998	0.035900612117360495	0.02922184835379793	0.0022112774141761493	0.08060961293678881	5	0	0.0	0.0625
unseen_cell_line	pathways_regulons	Pathways + regulons	test_synergy_auprc	5	0.00662080512303152	0.016681829239676645	0.003961879639179933	-0.0090393157550476	0.029257272875212875	3	2	5.0	0.625
unseen_cell_line	regulons	Regulons only	test_macro_f1	5	-0.000249061793995764	0.020980625653080908	-0.006318541248207854	-0.01575266101546524	0.03639119757436565	1	4	5.0	0.625
