holdout	context_config	seed	k
unseen_drug	expression_regulons_programs	44	5
unseen_drug	expression_regulons_programs	44	10
unseen_drug	expression_regulons_programs	44	15
unseen_drug	expression_regulons_programs	44	20
unseen_drug	expression_regulons_programs	44	30
unseen_both	programs	44	5
unseen_both	programs	44	10
unseen_both	programs	44	15
unseen_both	programs	44	20
unseen_both	programs	44	30
unseen_both	expression_programs	44	5
unseen_both	expression_programs	44	10
unseen_both	expression_programs	44	15
unseen_both	expression_programs	44	20
unseen_both	expression_programs	44	30
unseen_both	regulons_programs	44	5
unseen_both	regulons_programs	44	10
unseen_both	regulons_programs	44	15
unseen_both	regulons_programs	44	20
unseen_both	regulons_programs	44	30
unseen_both	expression_regulons_programs	44	5
unseen_both	expression_regulons_programs	44	10
unseen_both	expression_regulons_programs	44	15
unseen_both	expression_regulons_programs	44	20
unseen_both	expression_regulons_programs	44	30
unseen_cell_line	programs	45	5
unseen_cell_line	programs	45	10
unseen_cell_line	programs	45	15
unseen_cell_line	programs	45	20
unseen_cell_line	programs	45	30
unseen_cell_line	expression_programs	45	5
unseen_cell_line	expression_programs	45	10
unseen_cell_line	expression_programs	45	15
unseen_cell_line	expression_programs	45	20
unseen_cell_line	expression_programs	45	30
unseen_cell_line	regulons_programs	45	5
unseen_cell_line	regulons_programs	45	10
unseen_cell_line	regulons_programs	45	15
unseen_cell_line	regulons_programs	45	20
unseen_cell_line	regulons_programs	45	30
unseen_cell_line	expression_regulons_programs	45	5
unseen_cell_line	expression_regulons_programs	45	10
unseen_cell_line	expression_regulons_programs	45	15
unseen_cell_line	expression_regulons_programs	45	20
unseen_cell_line	expression_regulons_programs	45	30
unseen_drug	programs	45	5
unseen_drug	programs	45	10
unseen_drug	programs	45	15
unseen_drug	programs	45	20
unseen_drug	programs	45	30
unseen_drug	expression_programs	45	5
unseen_drug	expression_programs	45	10
unseen_drug	expression_programs	45	15
unseen_drug	expression_programs	45	20
unseen_drug	expression_programs	45	30
unseen_drug	regulons_programs	45	5
unseen_drug	regulons_programs	45	10
unseen_drug	regulons_programs	45	15
unseen_drug	regulons_programs	45	20
unseen_drug	regulons_programs	45	30
unseen_drug	expression_regulons_programs	45	5
unseen_drug	expression_regulons_programs	45	10
unseen_drug	expression_regulons_programs	45	15
unseen_drug	expression_regulons_programs	45	20
unseen_drug	expression_regulons_programs	45	30
unseen_both	programs	45	5
unseen_both	programs	45	10
unseen_both	programs	45	15
unseen_both	programs	45	20
unseen_both	programs	45	30
unseen_both	expression_programs	45	5
unseen_both	expression_programs	45	10
unseen_both	expression_programs	45	15
unseen_both	expression_programs	45	20
unseen_both	expression_programs	45	30
unseen_both	regulons_programs	45	5
unseen_both	regulons_programs	45	10
unseen_both	regulons_programs	45	15
unseen_both	regulons_programs	45	20
unseen_both	regulons_programs	45	30
unseen_both	expression_regulons_programs	45	5
unseen_both	expression_regulons_programs	45	10
unseen_both	expression_regulons_programs	45	15
unseen_both	expression_regulons_programs	45	20
unseen_both	expression_regulons_programs	45	30
unseen_cell_line	programs	46	5
unseen_cell_line	programs	46	10
unseen_cell_line	programs	46	15
unseen_cell_line	programs	46	20
unseen_cell_line	programs	46	30
unseen_cell_line	expression_programs	46	5
unseen_cell_line	expression_programs	46	10
unseen_cell_line	expression_programs	46	15
unseen_cell_line	expression_programs	46	20
unseen_cell_line	expression_programs	46	30
unseen_cell_line	regulons_programs	46	5
unseen_cell_line	regulons_programs	46	10
unseen_cell_line	regulons_programs	46	15
unseen_cell_line	regulons_programs	46	20
unseen_cell_line	regulons_programs	46	30
unseen_cell_line	expression_regulons_programs	46	5
unseen_cell_line	expression_regulons_programs	46	10
unseen_cell_line	expression_regulons_programs	46	15
unseen_cell_line	expression_regulons_programs	46	20
unseen_cell_line	expression_regulons_programs	46	30
unseen_drug	programs	46	5
unseen_drug	programs	46	10
unseen_drug	programs	46	15
unseen_drug	programs	46	20
unseen_drug	programs	46	30
unseen_drug	expression_programs	46	5
unseen_drug	expression_programs	46	10
unseen_drug	expression_programs	46	15
unseen_drug	expression_programs	46	20
unseen_drug	expression_programs	46	30
unseen_drug	regulons_programs	46	5
unseen_drug	regulons_programs	46	10
unseen_drug	regulons_programs	46	15
unseen_drug	regulons_programs	46	20
unseen_drug	regulons_programs	46	30
unseen_drug	expression_regulons_programs	46	5
unseen_drug	expression_regulons_programs	46	10
unseen_drug	expression_regulons_programs	46	15
unseen_drug	expression_regulons_programs	46	20
unseen_drug	expression_regulons_programs	46	30
unseen_both	programs	46	5
unseen_both	programs	46	10
unseen_both	programs	46	15
unseen_both	programs	46	20
unseen_both	programs	46	30
unseen_both	expression_programs	46	5
unseen_both	expression_programs	46	10
unseen_both	expression_programs	46	15
unseen_both	expression_programs	46	20
unseen_both	expression_programs	46	30
unseen_both	regulons_programs	46	5
unseen_both	regulons_programs	46	10
unseen_both	regulons_programs	46	15
unseen_both	regulons_programs	46	20
unseen_both	regulons_programs	46	30
unseen_both	expression_regulons_programs	46	5
unseen_both	expression_regulons_programs	46	10
unseen_both	expression_regulons_programs	46	15
unseen_both	expression_regulons_programs	46	20
unseen_both	expression_regulons_programs	46	30
