feature	n_drugs_active	fraction_drugs_active
morgan_0000	62	0.007568359375
morgan_0001	2238	0.273193359375
morgan_0002	286	0.034912109375
morgan_0003	40	0.0048828125
morgan_0004	158	0.019287109375
morgan_0005	280	0.0341796875
morgan_0006	36	0.00439453125
morgan_0007	106	0.012939453125
morgan_0008	166	0.020263671875
morgan_0009	184	0.0224609375
morgan_0010	57	0.0069580078125
morgan_0011	90	0.010986328125
morgan_0012	57	0.0069580078125
morgan_0013	576	0.0703125
morgan_0014	371	0.0452880859375
morgan_0015	56	0.0068359375
morgan_0016	91	0.0111083984375
morgan_0017	39	0.0047607421875
morgan_0018	84	0.01025390625
morgan_0019	45	0.0054931640625
morgan_0020	57	0.0069580078125
morgan_0021	44	0.00537109375
morgan_0022	42	0.005126953125
morgan_0023	39	0.0047607421875
morgan_0024	65	0.0079345703125
morgan_0025	175	0.0213623046875
morgan_0026	44	0.00537109375
morgan_0027	96	0.01171875
morgan_0028	49	0.0059814453125
morgan_0029	266	0.032470703125
morgan_0030	29	0.0035400390625
morgan_0031	185	0.0225830078125
morgan_0032	105	0.0128173828125
morgan_0033	121	0.0147705078125
morgan_0034	197	0.0240478515625
morgan_0035	120	0.0146484375
morgan_0036	63	0.0076904296875
morgan_0037	77	0.0093994140625
morgan_0038	79	0.0096435546875
morgan_0039	90	0.010986328125
morgan_0040	92	0.01123046875
morgan_0041	355	0.0433349609375
morgan_0042	109	0.0133056640625
morgan_0043	234	0.028564453125
morgan_0044	31	0.0037841796875
morgan_0045	388	0.04736328125
morgan_0046	57	0.0069580078125
morgan_0047	29	0.0035400390625
morgan_0048	32	0.00390625
morgan_0049	58	0.007080078125
morgan_0050	66	0.008056640625
morgan_0051	69	0.0084228515625
morgan_0052	79	0.0096435546875
morgan_0053	79	0.0096435546875
morgan_0054	134	0.016357421875
morgan_0055	36	0.00439453125
morgan_0056	115	0.0140380859375
morgan_0057	82	0.010009765625
morgan_0058	97	0.0118408203125
morgan_0059	60	0.00732421875
morgan_0060	88	0.0107421875
morgan_0061	120	0.0146484375
morgan_0062	154	0.018798828125
morgan_0063	57	0.0069580078125
morgan_0064	44	0.00537109375
morgan_0065	108	0.01318359375
morgan_0066	74	0.009033203125
morgan_0067	161	0.0196533203125
morgan_0068	80	0.009765625
morgan_0069	119	0.0145263671875
morgan_0070	69	0.0084228515625
morgan_0071	43	0.0052490234375
morgan_0072	51	0.0062255859375
morgan_0073	50	0.006103515625
morgan_0074	449	0.0548095703125
morgan_0075	125	0.0152587890625
morgan_0076	56	0.0068359375
morgan_0077	56	0.0068359375
morgan_0078	44	0.00537109375
morgan_0079	340	0.04150390625
morgan_0080	5211	0.6361083984375
morgan_0081	102	0.012451171875
morgan_0082	63	0.0076904296875
morgan_0083	115	0.0140380859375
morgan_0084	367	0.0447998046875
morgan_0085	37	0.0045166015625
morgan_0086	30	0.003662109375
morgan_0087	139	0.0169677734375
morgan_0088	86	0.010498046875
morgan_0089	149	0.0181884765625
morgan_0090	265	0.0323486328125
morgan_0091	55	0.0067138671875
morgan_0092	173	0.0211181640625
morgan_0093	52	0.00634765625
morgan_0094	390	0.047607421875
morgan_0095	66	0.008056640625
morgan_0096	44	0.00537109375
morgan_0097	142	0.017333984375
morgan_0098	50	0.006103515625
morgan_0099	81	0.0098876953125
morgan_0100	37	0.0045166015625
morgan_0101	43	0.0052490234375
morgan_0102	385	0.0469970703125
morgan_0103	48	0.005859375
morgan_0104	111	0.0135498046875
morgan_0105	113	0.0137939453125
morgan_0106	169	0.0206298828125
morgan_0107	133	0.0162353515625
morgan_0108	125	0.0152587890625
morgan_0109	60	0.00732421875
morgan_0110	104	0.0126953125
morgan_0111	49	0.0059814453125
morgan_0112	55	0.0067138671875
morgan_0113	63	0.0076904296875
morgan_0114	1107	0.1351318359375
morgan_0115	114	0.013916015625
morgan_0116	388	0.04736328125
morgan_0117	448	0.0546875
morgan_0118	232	0.0283203125
morgan_0119	623	0.0760498046875
morgan_0120	50	0.006103515625
morgan_0121	174	0.021240234375
morgan_0122	98	0.011962890625
morgan_0123	38	0.004638671875
morgan_0124	23	0.0028076171875
morgan_0125	81	0.0098876953125
morgan_0126	79	0.0096435546875
morgan_0127	60	0.00732421875
morgan_0128	65	0.0079345703125
morgan_0129	56	0.0068359375
morgan_0130	194	0.023681640625
morgan_0131	78	0.009521484375
morgan_0132	50	0.006103515625
morgan_0133	103	0.0125732421875
morgan_0134	59	0.0072021484375
morgan_0135	44	0.00537109375
morgan_0136	54	0.006591796875
morgan_0137	39	0.0047607421875
morgan_0138	76	0.00927734375
morgan_0139	60	0.00732421875
morgan_0140	615	0.0750732421875
morgan_0141	32	0.00390625
morgan_0142	126	0.015380859375
morgan_0143	65	0.0079345703125
morgan_0144	79	0.0096435546875
morgan_0145	333	0.0406494140625
morgan_0146	79	0.0096435546875
morgan_0147	612	0.07470703125
morgan_0148	57	0.0069580078125
morgan_0149	66	0.008056640625
morgan_0150	79	0.0096435546875
morgan_0151	70	0.008544921875
morgan_0152	49	0.0059814453125
morgan_0153	51	0.0062255859375
morgan_0154	37	0.0045166015625
morgan_0155	123	0.0150146484375
morgan_0156	54	0.006591796875
morgan_0157	198	0.024169921875
morgan_0158	112	0.013671875
morgan_0159	36	0.00439453125
morgan_0160	83	0.0101318359375
morgan_0161	39	0.0047607421875
morgan_0162	293	0.0357666015625
morgan_0163	42	0.005126953125
morgan_0164	117	0.0142822265625
morgan_0165	310	0.037841796875
morgan_0166	55	0.0067138671875
morgan_0167	116	0.01416015625
morgan_0168	104	0.0126953125
morgan_0169	97	0.0118408203125
morgan_0170	42	0.005126953125
morgan_0171	77	0.0093994140625
morgan_0172	68	0.00830078125
morgan_0173	60	0.00732421875
morgan_0174	31	0.0037841796875
morgan_0175	68	0.00830078125
morgan_0176	46	0.005615234375
morgan_0177	60	0.00732421875
morgan_0178	30	0.003662109375
morgan_0179	92	0.01123046875
morgan_0180	76	0.00927734375
morgan_0181	59	0.0072021484375
morgan_0182	145	0.0177001953125
morgan_0183	31	0.0037841796875
morgan_0184	294	0.035888671875
morgan_0185	37	0.0045166015625
morgan_0186	82	0.010009765625
morgan_0187	45	0.0054931640625
morgan_0188	81	0.0098876953125
morgan_0189	75	0.0091552734375
morgan_0190	41	0.0050048828125
morgan_0191	867	0.1058349609375
morgan_0192	230	0.028076171875
morgan_0193	278	0.033935546875
morgan_0194	166	0.020263671875
morgan_0195	35	0.0042724609375
morgan_0196	78	0.009521484375
morgan_0197	521	0.0635986328125
morgan_0198	69	0.0084228515625
morgan_0199	47	0.0057373046875
morgan_0200	39	0.0047607421875
morgan_0201	63	0.0076904296875
morgan_0202	311	0.0379638671875
morgan_0203	165	0.0201416015625
morgan_0204	93	0.0113525390625
morgan_0205	92	0.01123046875
morgan_0206	84	0.01025390625
morgan_0207	364	0.04443359375
morgan_0208	67	0.0081787109375
morgan_0209	115	0.0140380859375
morgan_0210	64	0.0078125
morgan_0211	50	0.006103515625
morgan_0212	38	0.004638671875
morgan_0213	118	0.014404296875
morgan_0214	73	0.0089111328125
morgan_0215	50	0.006103515625
morgan_0216	738	0.090087890625
morgan_0217	69	0.0084228515625
morgan_0218	120	0.0146484375
morgan_0219	53	0.0064697265625
morgan_0220	51	0.0062255859375
morgan_0221	140	0.01708984375
morgan_0222	924	0.11279296875
morgan_0223	36	0.00439453125
morgan_0224	46	0.005615234375
morgan_0225	108	0.01318359375
morgan_0226	52	0.00634765625
morgan_0227	643	0.0784912109375
morgan_0228	36	0.00439453125
morgan_0229	58	0.007080078125
morgan_0230	108	0.01318359375
morgan_0231	578	0.070556640625
morgan_0232	60	0.00732421875
morgan_0233	410	0.050048828125
morgan_0234	46	0.005615234375
morgan_0235	234	0.028564453125
morgan_0236	60	0.00732421875
morgan_0237	257	0.0313720703125
morgan_0238	64	0.0078125
morgan_0239	85	0.0103759765625
morgan_0240	109	0.0133056640625
morgan_0241	86	0.010498046875
morgan_0242	277	0.0338134765625
morgan_0243	93	0.0113525390625
morgan_0244	40	0.0048828125
morgan_0245	166	0.020263671875
morgan_0246	63	0.0076904296875
morgan_0247	28	0.00341796875
morgan_0248	179	0.0218505859375
morgan_0249	718	0.087646484375
morgan_0250	74	0.009033203125
morgan_0251	248	0.0302734375
morgan_0252	237	0.0289306640625
morgan_0253	95	0.0115966796875
morgan_0254	49	0.0059814453125
morgan_0255	329	0.0401611328125
morgan_0256	33	0.0040283203125
morgan_0257	109	0.0133056640625
morgan_0258	37	0.0045166015625
morgan_0259	104	0.0126953125
morgan_0260	84	0.01025390625
morgan_0261	45	0.0054931640625
morgan_0262	136	0.0166015625
morgan_0263	76	0.00927734375
morgan_0264	47	0.0057373046875
