source	target	prior_weight	rho	abs_rho
MEF2D	HDAC7	1.0	0.23118037082049278	0.23118037082049278
MEF2D	ATF3	1.0	-0.00905650943886949	0.00905650943886949
MEF2D	SOST	-1.0	-0.055697176580796565	0.055697176580796565
MEF2D	MYH10	1.0	0.0908070574332212	0.0908070574332212
MEF2D	DES	1.0	-0.0320506397986561	0.0320506397986561
MEF2D	MYH2	1.0	0.01313584297066114	0.01313584297066114
MEF2D	MYF6	1.0	0.07399703102504478	0.07399703102504478
MEF2D	MYH1	1.0	0.036756096845117464	0.036756096845117464
MEF2D	IL10	1.0	0.20177520026860468	0.20177520026860468
MEF2D	EP300	1.0	0.38143798282221586	0.38143798282221586
MEF2D	PPARGC1A	1.0	0.04372752912281824	0.04372752912281824
MEIS1	CDKN1A	1.0	0.0403639085290776	0.0403639085290776
MEIS1	PF4	1.0	-0.04759168498140485	0.04759168498140485
MEIS1	ZIC3	1.0	0.1716011608636283	0.1716011608636283
MEIS1	FLT3	1.0	-0.09148049684970101	0.09148049684970101
MEIS1	CCND1	1.0	0.11651570926227522	0.11651570926227522
MEIS1	MYC	1.0	-0.23191852419106	0.23191852419106
MEIS1	NFYA	1.0	0.09722221028798532	0.09722221028798532
MEIS1	SOX3	1.0	0.13295433827246853	0.13295433827246853
MEIS1	GFI1	1.0	-0.09308174488763594	0.09308174488763594
MEIS1	KRT19	1.0	-0.07856673554083819	0.07856673554083819
MEIS1	TGFBR2	-1.0	-0.0017080958095475136	0.0017080958095475136
MEIS1	POU5F1	-1.0	-0.10228062171442316	0.10228062171442316
MEIS1	FOXN4	1.0	0.10797514292109163	0.10797514292109163
MEIS1	AR	1.0	0.2151707501421493	0.2151707501421493
MEIS1	ITGA9	1.0	0.2067480418905121	0.2067480418905121
MEIS1	IL10	1.0	-0.05563377007984848	0.05563377007984848
MEIS1	CCL4	-1.0	-0.13220600050487868	0.13220600050487868
MEIS1	CCL3	-1.0	-0.1292865822909977	0.1292865822909977
MEIS1	MYB	1.0	-0.08514279312760069	0.08514279312760069
MEIS1	ASCL1	1.0	0.06725943991515351	0.06725943991515351
MEIS1	HIF1A	1.0	0.20163046029074388	0.20163046029074388
MEIS1	CYBB	-1.0	-0.15821504703375888	0.15821504703375888
MEIS1	PAX6	1.0	0.09817257365384294	0.09817257365384294
MEIS1	PTCH1	1.0	0.13919806593911932	0.13919806593911932
MEIS2	EPHA8	1.0	0.0454590392116439	0.0454590392116439
MEIS2	KRT19	1.0	-0.05168421481829071	0.05168421481829071
MEIS2	IL17RB	1.0	-0.032898638785428314	0.032898638785428314
MEIS2	DRD1	1.0	0.08574991283342648	0.08574991283342648
