	abs_rho
count	40744.0
mean	0.1335794166178394
std	0.11449747679057316
min	3.75622882182042e-06
25%	0.04745300119198974
50%	0.1038458666375381
75%	0.18735974616379997
90%	0.2898222665912086
95%	0.36297164951805544
99%	0.5133459518979304
max	0.8447210220974536
