source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
JUNB	109	108	63	0.1468982788529398	0.12376322734943915	0.6099388356634745	0.5833333333333334
SOX9	105	104	62	0.15051792599645622	0.13573671477767676	0.46905554179986314	0.5961538461538461
CEBPD	96	95	62	0.1728569875648001	0.13415241092366942	0.5133702109457984	0.6526315789473685
REL	112	111	61	0.13349802586066806	0.10879466321906885	0.5187917989273555	0.5495495495495496
MYOD1	142	141	61	0.09701118579782901	0.09103081987957497	0.33765673394317136	0.4326241134751773
NFYA	94	93	60	0.17190039276884064	0.15484085938684775	0.46881002412628825	0.6451612903225806
USF2	115	114	60	0.13168198721100127	0.11383114993276104	0.5025169291617833	0.5263157894736842
NR0B2	118	117	59	0.11440131948555245	0.10298574061307927	0.34937862982191403	0.5042735042735043
PITX2	141	140	59	0.09388237949085923	0.07979663988941457	0.31177888308181506	0.42142857142857143
GATA6	85	84	58	0.17727731673587566	0.15275411142362838	0.5044968855761822	0.6904761904761905
YBX1	92	91	58	0.17267589662943977	0.14496995739889795	0.5887984826463344	0.6373626373626373
NR1H4	134	134	58	0.09315960465962562	0.09094894727349032	0.32554950263503324	0.43283582089552236
KAT7	83	83	57	0.17992233184957251	0.15514210750158117	0.5381775838987435	0.6867469879518072
NFIC	82	81	57	0.17654237953057877	0.14630021616726552	0.4761156348315718	0.7037037037037037
NRF1	91	90	57	0.1780323517769813	0.14421972615488182	0.6394744903335154	0.6333333333333333
SRF	105	104	56	0.13128706901535328	0.1114259654387339	0.4454594023432561	0.5384615384615384
GATA3	190	189	56	0.07486218993234539	0.05978478068826992	0.2544909898847481	0.2962962962962963
SOX2	89	88	55	0.1405117604985449	0.13304719581597813	0.4576079980099371	0.625
FLI1	95	94	55	0.13519316587127084	0.12186071447659971	0.44430679976536636	0.5851063829787234
TAL1	96	95	55	0.11956056346286428	0.11116589015130791	0.3921813483165905	0.5789473684210527
LEF1	120	119	55	0.09808360527589557	0.08774282354044347	0.36472941620444926	0.46218487394957986
ATF2	119	118	55	0.11793109202984499	0.08277334590401143	0.4646022100003037	0.4661016949152542
SREBF1	130	129	55	0.11425062612930728	0.07595794002045392	0.4961641652566249	0.4263565891472868
RARA	186	185	55	0.0791625384960044	0.06424546251502988	0.3508516766184673	0.2972972972972973
PPARD	99	99	54	0.1545323098678612	0.1374421246773697	0.44317109665435894	0.5454545454545454
RXRA	111	110	54	0.12497894685355	0.09797953101813087	0.3793322775327227	0.4909090909090909
FOXO1	279	278	53	0.06296767338113093	0.05555957438033564	0.20938477825232016	0.1906474820143885
PAX3	116	115	51	0.11652372774160104	0.08321354936828827	0.35314040587536366	0.4434782608695652
IRF3	83	82	50	0.13434730222722882	0.11735264630348544	0.40943253150447656	0.6097560975609756
PGR	133	132	50	0.09156962655095306	0.08163498261362892	0.2921747033917779	0.3787878787878788
GATA4	137	136	50	0.08670228598165496	0.07518829911437275	0.2516736704301742	0.36764705882352944
TWIST1	78	78	49	0.19708425248557698	0.17890915510969616	0.6037872514670034	0.6282051282051282
PAX5	66	65	49	0.2014233963625783	0.1742636535024941	0.4579599211640461	0.7538461538461538
FOXA1	69	69	49	0.2093386017785778	0.16102915429640882	0.665946149099003	0.7101449275362319
KLF5	76	75	49	0.20698967675573415	0.15064518685474929	0.6861136032941116	0.6533333333333333
ASCL1	70	69	49	0.14922536025002828	0.13643859491134064	0.481166276341794	0.7101449275362319
ID1	77	76	49	0.16020754425244135	0.13570799364797487	0.509553334149618	0.6447368421052632
SNAI1	99	98	49	0.11498569944522907	0.09741509614389188	0.35694123647563514	0.5
ZEB1	63	63	48	0.27642311121946095	0.24435422126327414	0.6942332834409631	0.7619047619047619
E2F3	68	68	48	0.2530214969331712	0.2385497204276473	0.567467316509224	0.7058823529411765
THRA	83	82	48	0.13166342289071728	0.1176953630271878	0.3508516766184673	0.5853658536585366
HNF1B	64	63	47	0.21315128647743695	0.1751724404457103	0.5129379541793576	0.746031746031746
CDX2	75	74	47	0.1851903221032119	0.15681658551838754	0.43195761076903133	0.6351351351351351
NR4A1	109	109	47	0.10172034720196595	0.0843190965704934	0.4697833495374343	0.43119266055045874
MEF2A	117	116	47	0.1068880808380156	0.07311566396113817	0.3596022320006759	0.4051724137931034
