gene
TMEM2
HN1L
KIAA0100
KIAA0494
WRB
KIAA0907
HIST2H2BE
KIF1BP
B3GNT1
TSTA3
SKIV2L
MTERFD1
NARFL
H2AFV
FAM69A
KIAA1033
HDGFRP3
HIST1H2BK
WDR61
TMEM110
TMEM5
ATP5S
CCDC90A
KIAA0528
LRRC16A
CHP
KIAA0355
CD97
GPR56
WDR67
PTPLAD1
ADCK3
PHF15
FAM57A
GPER
SQRDL
