holdout	metric	context_a	context_b	n_pairs	mean_delta_b_minus_a	median_delta_b_minus_a	n_b_better	n_a_better	wilcoxon_statistic	wilcoxon_p
unseen_drug	test_synergy_auprc	programs	expression_programs	5	0.013032720313103308	0.004420603825886049	4	1	3.0	0.3125
unseen_drug	test_macro_f1	programs	regulons_programs	5	0.016397425522062935	0.016815610525218294	5	0	0.0	0.0625
unseen_drug	test_balanced_accuracy	programs	regulons_programs	5	0.032519510719315955	0.03375620553122616	4	1	1.0	0.125
unseen_drug	test_macro_ovr_auroc	programs	regulons_programs	5	0.021731419675094954	0.025033242725003624	4	1	1.0	0.125
unseen_drug	test_macro_auprc	programs	regulons_programs	5	0.013815318613515214	0.011718956754622756	4	1	3.0	0.3125
unseen_drug	test_antagonism_auprc	programs	regulons_programs	5	0.025863401309754796	0.02486826317051677	4	1	4.0	0.4375
unseen_drug	test_synergy_auprc	programs	regulons_programs	5	0.005878573049603731	-0.003278836466537649	2	3	6.0	0.8125
unseen_drug	test_macro_f1	programs	expression_regulons_programs	5	0.024174256776753757	0.025333096171893277	5	0	0.0	0.0625
unseen_drug	test_balanced_accuracy	programs	expression_regulons_programs	5	0.015154901354386107	0.024105343621824926	3	2	5.0	0.625
unseen_drug	test_macro_ovr_auroc	programs	expression_regulons_programs	5	0.013824796990868693	0.024300317441550257	4	1	4.0	0.4375
unseen_drug	test_macro_auprc	programs	expression_regulons_programs	5	0.01006834917529149	0.013280032347990134	4	1	4.0	0.4375
unseen_drug	test_antagonism_auprc	programs	expression_regulons_programs	5	0.02908153658553677	0.038919919145180115	4	1	3.0	0.3125
unseen_drug	test_synergy_auprc	programs	expression_regulons_programs	5	-0.0027108101621726387	0.004036487850986703	3	2	6.0	0.8125
unseen_drug	test_macro_f1	expression_programs	regulons_programs	5	-0.005247682246662966	0.004883028511590948	3	2	6.0	0.8125
unseen_drug	test_balanced_accuracy	expression_programs	regulons_programs	5	0.00691344619094596	-0.005193822447957852	2	3	7.0	1.0
unseen_drug	test_macro_ovr_auroc	expression_programs	regulons_programs	5	-1.4823826163623543e-05	-0.005198309900699916	2	3	7.0	1.0
unseen_drug	test_macro_auprc	expression_programs	regulons_programs	5	-0.003732924806379456	-0.002531276600893362	2	3	5.0	0.625
unseen_drug	test_antagonism_auprc	expression_programs	regulons_programs	5	-0.005499217735852968	-0.005957071549486714	2	3	6.0	0.8125
unseen_drug	test_synergy_auprc	expression_programs	regulons_programs	5	-0.007154147263499578	-0.008315353803003966	2	3	5.0	0.625
unseen_drug	test_macro_f1	expression_programs	expression_regulons_programs	5	0.002529149008027853	-0.0005868529667099054	2	3	7.0	1.0
unseen_drug	test_balanced_accuracy	expression_programs	expression_regulons_programs	5	-0.010451163173983891	-0.005262789510124044	1	4	1.0	0.125
unseen_drug	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	5	-0.007921446510389885	-0.007094480668574432	1	4	2.0	0.1875
unseen_drug	test_macro_auprc	expression_programs	expression_regulons_programs	5	-0.0074798942446031805	-0.017069507349578017	2	3	3.0	0.3125
unseen_drug	test_antagonism_auprc	expression_programs	expression_regulons_programs	5	-0.0022810824600709933	-0.012926437416895642	2	3	7.0	1.0
unseen_drug	test_synergy_auprc	expression_programs	expression_regulons_programs	5	-0.015743530475275946	-0.031127881883641018	2	3	3.0	0.3125
unseen_drug	test_macro_f1	regulons_programs	expression_regulons_programs	5	0.007776831254690819	0.012725375016807483	3	2	3.0	0.3125
unseen_drug	test_balanced_accuracy	regulons_programs	expression_regulons_programs	5	-0.01736460936492985	-0.007716284085289238	2	3	4.0	0.4375
unseen_drug	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	5	-0.007906622684226261	-0.0007329252834533673	2	3	5.0	0.625
unseen_drug	test_macro_auprc	regulons_programs	expression_regulons_programs	5	-0.003746969438223724	-0.005950433447389547	2	3	5.0	0.625
unseen_drug	test_antagonism_auprc	regulons_programs	expression_regulons_programs	5	0.003218135275781975	-0.0028714719445256387	2	3	7.0	1.0
unseen_drug	test_synergy_auprc	regulons_programs	expression_regulons_programs	5	-0.00858938321177637	-0.00413924310413144	2	3	5.0	0.625
unseen_both	test_macro_f1	programs	expression_programs	5	-0.023382300290828783	-0.02596161319044088	0	5	0.0	0.0625
unseen_both	test_balanced_accuracy	programs	expression_programs	5	-0.028511104479787885	-0.024225089031918057	1	4	1.0	0.125
unseen_both	test_macro_ovr_auroc	programs	expression_programs	5	-0.04717188508863923	-0.04167044928034491	0	5	0.0	0.0625
unseen_both	test_macro_auprc	programs	expression_programs	5	-0.02295540049474095	-0.02104660784668777	0	5	0.0	0.0625
unseen_both	test_antagonism_auprc	programs	expression_programs	5	-0.011217994237743617	-0.005717593123109002	2	3	5.0	0.625
unseen_both	test_synergy_auprc	programs	expression_programs	5	-0.03952015563008646	-0.03656112515374743	0	5	0.0	0.0625
unseen_both	test_macro_f1	programs	regulons_programs	5	-0.006652941528792322	0.011041051686013659	3	2	6.0	0.8125
unseen_both	test_balanced_accuracy	programs	regulons_programs	5	-0.006794674640285947	0.023388949855781993	3	2	6.0	0.8125
unseen_both	test_macro_ovr_auroc	programs	regulons_programs	5	-0.022769849660044583	0.0005228717398079175	3	2	6.0	0.8125
unseen_both	test_macro_auprc	programs	regulons_programs	5	-0.010136594998360981	-0.007558679285034953	2	3	4.0	0.4375
unseen_both	test_antagonism_auprc	programs	regulons_programs	5	0.02053321166434116	0.02229438164786543	3	2	4.0	0.4375
unseen_both	test_synergy_auprc	programs	regulons_programs	5	-0.03854057085036255	-0.0488784348146514	1	4	1.0	0.125
unseen_both	test_macro_f1	programs	expression_regulons_programs	5	-0.013981618126570094	-0.023670225283400348	2	3	3.0	0.3125
unseen_both	test_balanced_accuracy	programs	expression_regulons_programs	5	-0.0120941881489376	-0.026839269600541116	2	3	4.0	0.4375
unseen_both	test_macro_ovr_auroc	programs	expression_regulons_programs	5	-0.027877263196367807	-0.020359370674652322	0	5	0.0	0.0625
unseen_both	test_macro_auprc	programs	expression_regulons_programs	5	-0.017038399624461097	-0.01996938852619634	0	5	0.0	0.0625
unseen_both	test_antagonism_auprc	programs	expression_regulons_programs	5	0.0031848794236754687	0.0064585744835865405	3	2	6.0	0.8125
unseen_both	test_synergy_auprc	programs	expression_regulons_programs	5	-0.04658378692437761	-0.0503111020515635	0	5	0.0	0.0625
unseen_both	test_macro_f1	expression_programs	regulons_programs	5	0.01672935876203646	0.012620945634372438	3	2	4.0	0.4375
unseen_both	test_balanced_accuracy	expression_programs	regulons_programs	5	0.02171642983950194	0.027607264624281758	3	2	3.0	0.3125
unseen_both	test_macro_ovr_auroc	expression_programs	regulons_programs	5	0.02440203542859465	0.04219332102015283	3	2	3.0	0.3125
unseen_both	test_macro_auprc	expression_programs	regulons_programs	5	0.012818805496379971	0.011615232234205464	3	2	5.0	0.625
unseen_both	test_antagonism_auprc	expression_programs	regulons_programs	5	0.03175120590208478	0.007446971247964659	3	2	4.0	0.4375
unseen_both	test_synergy_auprc	expression_programs	regulons_programs	5	0.0009795847797239132	0.00935109894248512	3	2	7.0	1.0
unseen_both	test_macro_f1	expression_programs	expression_regulons_programs	5	0.009400682164258689	0.002291387907040532	3	2	4.0	0.4375
unseen_both	test_balanced_accuracy	expression_programs	expression_regulons_programs	5	0.016416916330850285	0.015299732614734995	4	1	3.0	0.3125
unseen_both	test_macro_ovr_auroc	expression_programs	expression_regulons_programs	5	0.019294621892271425	0.022408523138552572	5	0	0.0	0.0625
unseen_both	test_macro_auprc	expression_programs	expression_regulons_programs	5	0.005917000870279854	0.009274052568274294	3	2	3.0	0.3125
unseen_both	test_antagonism_auprc	expression_programs	expression_regulons_programs	5	0.014402873661419086	0.012176167606695543	5	0	0.0	0.0625
unseen_both	test_synergy_auprc	expression_programs	expression_regulons_programs	5	-0.00706363129429115	-0.013749976897816069	1	4	5.0	0.625
unseen_both	test_macro_f1	regulons_programs	expression_regulons_programs	5	-0.007328676597777773	0.009463232605531169	3	2	7.0	1.0
unseen_both	test_balanced_accuracy	regulons_programs	expression_regulons_programs	5	-0.005299513508651654	0.003718523161383047	3	2	7.0	1.0
unseen_both	test_macro_ovr_auroc	regulons_programs	expression_regulons_programs	5	-0.005107413536323224	-0.018571354352262093	2	3	7.0	1.0
unseen_both	test_macro_auprc	regulons_programs	expression_regulons_programs	5	-0.006901804626100116	0.004619055470509448	3	2	6.0	0.8125
unseen_both	test_antagonism_auprc	regulons_programs	expression_regulons_programs	5	-0.017348332240665693	0.017645257733014008	3	2	6.0	0.8125
unseen_both	test_synergy_auprc	regulons_programs	expression_regulons_programs	5	-0.008043216074015064	-0.007090525689016469	2	3	5.0	0.625
