drugcomb_id	dname	inchikey	n_seed_symbols	n_symbols_mapped_to_ensembl	n_targets_in_huri	fraction_targets_in_huri	drug_target_status	seed_symbols	huri_target_ensembl
1228	RI-1	MWSUIZKGNWELRF-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	RAD51	
1229	Nodinitib-1	SRFABRWQVPCPRG-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	NOD1	
1230	HC-030031	HEQDZPHDVAOBLN-UHFFFAOYSA-N	1	1	0	0.0	targets_known_but_none_in_huri	TRPA1	
1231	CAY10505	UFBTYTGRUBUUIL-KPKJPENVSA-N	0	0	0		no_known_targets		
1232	2-thiouracil	ZEMGGZBWXRYJHK-UHFFFAOYSA-N	0	0	0		no_known_targets		
1233	10058-F4	SVXDHPADAXBMFB-JXMROGBWSA-N	0	0	0		no_known_targets		
1234	Scopine	FIMXSEMBHGTNKT-UPGAHCIJSA-N	0	0	0		no_known_targets		
1235	methimazole	PMRYVIKBURPHAH-UHFFFAOYSA-N	2	2	0	0.0	targets_known_but_none_in_huri	LPO;TPO	
1236	438190-29-5	NGJLOFCOEOHFKQ-YVMONPNESA-N	3	3	0	0.0	targets_known_but_none_in_huri	CISD1;PIM1;PIM2	
1237	546141-08-6	ROFVXGGUISEHAM-UHFFFAOYSA-N	5	5	1	0.2	targets_mapped_to_huri	EPHX2;FAAH;FAAH2;HDAC6;MGLL	ENSG00000074416
1238	sulindac	MLKXDPUZXIRXEP-MFOYZWKCSA-N	6	6	2	0.3333333333333333	targets_mapped_to_huri	AKR1B1;AKR1B10;C5;PTGDR2;PTGS1;PTGS2	ENSG00000085662;ENSG00000106804
1239	terbinafine	DOMXUEMWDBAQBQ-WEVVVXLNSA-N	0	0	0		no_known_targets		
1240	epalrestat	CHNUOJQWGUIOLD-NFZZJPOKSA-N	4	4	1	0.25	targets_mapped_to_huri	AKR1A1;AKR1B1;AKR1B10;GSK3B	ENSG00000085662
1241	ALLYLTHIOUREA	HTKFORQRBXIQHD-UHFFFAOYSA-N	0	0	0		no_known_targets		
1242	Tame	FKMJXALNHKIDOD-LBPRGKRZSA-N	0	0	0		no_known_targets		
