training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
Bexarotene	bexarotene	988.0	Bexarotene	mapped	exact
Bifemelane	bifemelane	8148.0	Bifemelane	mapped	exact
Bilobalide	bilobalide			ambiguous	ambiguous
Bimatoprost	bimatoprost	1379.0	Bimatoprost	mapped	exact
Bimiralisib	bimiralisib	3771.0	Bimiralisib	mapped	exact
Bindarit	bindarit	956.0	Bindarit	mapped	exact
Binimetinib	binimetinib	1596.0	Binimetinib	mapped	exact
Bioepiderm	bioepiderm	427.0	Bioepiderm	mapped	exact
Bioymifi	bioymifi	3990.0	Bioymifi	mapped	exact
Biperiden hydrochloride	biperiden hydrochloride	1001.0	Biperiden hydrochloride	mapped	exact
Birinapant	birinapant	1940.0	Birinapant	mapped	exact
Bisoprolol fumarate	bisoprolol fumarate			ambiguous	ambiguous
Bleomycin sulfate	bleomycin sulfate			ambiguous	ambiguous
Boceprevir	boceprevir	5715.0	Boceprevir	mapped	exact
Bortezomib	bortezomib	5.0	Bortezomib	mapped	exact
Bosentan	bosentan	309.0	Bosentan	mapped	exact
Bosentan hydrate	bosentan hydrate	1101.0	Bosentan hydrate	mapped	exact
Bosutinib	bosutinib	1395.0	Bosutinib	mapped	exact
Bracken fern toxic component	bracken fern toxic component	3484.0	Bracken fern toxic component	mapped	exact
Brequinar	brequinar	4064.0	Brequinar	mapped	exact
Bretylium tosylate	bretylium tosylate	252.0	Bretylium tosylate	mapped	exact
Briciclib	briciclib	3788.0	Briciclib	mapped	exact
Brigatinib	brigatinib	3710.0	Brigatinib	mapped	exact
Brilanestrant	brilanestrant	4081.0	Brilanestrant	mapped	exact
Brincidofovir	brincidofovir	3903.0	Brincidofovir	mapped	exact
Brinzolamide	brinzolamide	946.0	Brinzolamide	mapped	exact
Brivanib	brivanib	1624.0	Brivanib	mapped	exact
Brivanib alaninate	brivanib alaninate	1612.0	Brivanib alaninate	mapped	exact
Bromhexine hydrochloride	bromhexine hydrochloride	1426.0	Bromhexine hydrochloride	mapped	exact
Brompheniramine maleate	brompheniramine maleate	1324.0	Brompheniramine maleate	mapped	exact
Buflomedil	buflomedil	3478.0	Buflomedil	mapped	exact
Buflomedil hydrochloride	buflomedil hydrochloride	1439.0	Buflomedil hydrochloride	mapped	exact
Bunamidine hydrochloride	bunamidine hydrochloride	8382.0	Bunamidine hydrochloride	mapped	exact
Buparlisib	buparlisib	1741.0	Buparlisib	mapped	exact
Bupivacaine hydrochloride	bupivacaine hydrochloride	894.0	Bupivacaine hydrochloride	mapped	exact
Buspirone hydrochloride	buspirone hydrochloride	812.0	Buspirone hydrochloride	mapped	exact
Butenafine hydrochloride	butenafine hydrochloride	1156.0	Butenafine hydrochloride	mapped	exact
Butoconazole	butoconazole	3359.0	Butoconazole	mapped	exact
C188-9	c188-9	2426.0	C188-9	mapped	exact
C24H28N2O5.H2O	c24h28n2o5.h2o	3597.0	C24H28N2O5.H2O	mapped	exact
C646	c646			ambiguous	ambiguous
C9H16N2O4S	c9h16n2o4s	1831.0	C9H16N2O4S	mapped	exact
CAA0225	caa0225	3596.0	CAA0225	mapped	exact
CABAZITAXEL	cabazitaxel	49.0	CABAZITAXEL	mapped	exact
CALCIUM GLUCEPTATE	calcium gluceptate	880.0	CALCIUM GLUCEPTATE	mapped	exact
CANRENONE	canrenone	171.0	CANRENONE	mapped	exact
CAPECITABINE	capecitabine	50.0	CAPECITABINE	mapped	exact
CARBENOXOLONE SODIUM	carbenoxolone sodium	1193.0	CARBENOXOLONE SODIUM	mapped	exact
CASIN	casin	2581.0	CASIN	mapped	exact
CAY-10581	cay-10581	2801.0	CAY-10581	mapped	exact
CAY10505	cay10505	1231.0	CAY10505	mapped	exact
CAY10603	cay10603	2261.0	CAY10603	mapped	exact
CB 300919	cb 300919	4222.0	CB 300919	mapped	exact
CB-5083	cb-5083	2545.0	CB-5083	mapped	exact
CB-839	cb-839	4000.0	CB-839	mapped	exact
CBiol_001725	cbiol_001725	2774.0	CBiol_001725	mapped	exact
CBiol_001848	cbiol_001848	3194.0	CBiol_001848	mapped	exact
CBiol_001931	cbiol_001931	1420.0	CBiol_001931	mapped	exact
CBiol_002052	cbiol_002052	3144.0	CBiol_002052	mapped	exact
CC-401	cc-401	2429.0	CC-401	mapped	exact
CC-885	cc-885	3989.0	CC-885	mapped	exact
CCT-018159	cct-018159	2155.0	CCT-018159	mapped	exact
CCT-244747	cct-244747	3667.0	CCT-244747	mapped	exact
CCT128930	cct128930	1762.0	CCT128930	mapped	exact
CCT129202	cct129202	1734.0	CCT129202	mapped	exact
CCT241533	cct241533	3666.0	CCT241533	mapped	exact
CCT251236	cct251236	3941.0	CCT251236	mapped	exact
CCT251545	cct251545	3662.0	CCT251545	mapped	exact
CDIBA	cdiba	2187.0	CDIBA	mapped	exact
CDK9 inhibitor	cdk9 inhibitor	2396.0	CDK9 inhibitor	mapped	exact
CEFOPERAZONE SODIUM	cefoperazone sodium	4127.0	CEFOPERAZONE SODIUM	mapped	exact
CEP-32496	cep-32496	1999.0	CEP-32496	mapped	exact
CEP-33779	cep-33779	2008.0	CEP-33779	mapped	exact
CEP-40783	cep-40783	3820.0	CEP-40783	mapped	exact
CEP28122	cep28122	3628.0	CEP28122	mapped	exact
CEPHARANTHINE	cepharanthine	736.0	CEPHARANTHINE	mapped	exact
CFI-400945	cfi-400945	3790.0	CFI-400945	mapped	exact
CFI-402257	cfi-402257	3676.0	CFI-402257	mapped	exact
CFTRinh-172	cftrinh-172	1243.0	CFTRinh-172	mapped	exact
CGI-1746	cgi-1746	2697.0	CGI-1746	mapped	exact
CGK733	cgk733	1461.0	CGK733	mapped	exact
CGS 21680 hydrochloride	cgs 21680 hydrochloride	1593.0	CGS 21680 hydrochloride	mapped	exact
CH5132799	ch5132799	1938.0	CH5132799	mapped	exact
CHEBI:45367	chebi:45367	205.0	CHEBI:45367	mapped	exact
CHEBI:47495	chebi:47495	3104.0	CHEBI:47495	mapped	exact
CHEBI:63449	chebi:63449	3089.0	CHEBI:63449	mapped	exact
CHEBI:93770	chebi:93770	3488.0	CHEBI:93770	mapped	exact
CHEBI:94798	chebi:94798	3319.0	CHEBI:94798	mapped	exact
CHEBI:95054	chebi:95054	3573.0	CHEBI:95054	mapped	exact
CHEMBL1090466	chembl1090466	2942.0	CHEMBL1090466	mapped	exact
CHEMBL1221434	chembl1221434	2191.0	CHEMBL1221434	mapped	exact
CHEMBL1254007	chembl1254007	4661.0	CHEMBL1254007	mapped	exact
CHEMBL1270810	chembl1270810	2269.0	CHEMBL1270810	mapped	exact
CHEMBL1288002	chembl1288002	2130.0	CHEMBL1288002	mapped	exact
CHEMBL130321	chembl130321	2922.0	CHEMBL130321	mapped	exact
CHEMBL1316023	chembl1316023	3341.0	CHEMBL1316023	mapped	exact
CHEMBL1364159	chembl1364159	3071.0	CHEMBL1364159	mapped	exact
CHEMBL1394734	chembl1394734	3388.0	CHEMBL1394734	mapped	exact
CHEMBL1398119	chembl1398119	8362.0	CHEMBL1398119	mapped	exact
CHEMBL1408258	chembl1408258	2270.0	CHEMBL1408258	mapped	exact
CHEMBL1444076	chembl1444076	3501.0	CHEMBL1444076	mapped	exact
CHEMBL1625478	chembl1625478	3270.0	CHEMBL1625478	mapped	exact
CHEMBL1625829	chembl1625829	3008.0	CHEMBL1625829	mapped	exact
CHEMBL166161	chembl166161	2216.0	CHEMBL166161	mapped	exact
CHEMBL1706473	chembl1706473	3572.0	CHEMBL1706473	mapped	exact
CHEMBL1706858	chembl1706858	2163.0	CHEMBL1706858	mapped	exact
CHEMBL1739063	chembl1739063	2783.0	CHEMBL1739063	mapped	exact
CHEMBL17639	chembl17639	393.0	CHEMBL17639	mapped	exact
CHEMBL1824695	chembl1824695	2135.0	CHEMBL1824695	mapped	exact
CHEMBL1836853	chembl1836853	2119.0	CHEMBL1836853	mapped	exact
CHEMBL1950303	chembl1950303	3521.0	CHEMBL1950303	mapped	exact
CHEMBL1981047	chembl1981047	4227.0	CHEMBL1981047	mapped	exact
CHEMBL2018451	chembl2018451	2319.0	CHEMBL2018451	mapped	exact
CHEMBL2062101	chembl2062101	3189.0	CHEMBL2062101	mapped	exact
CHEMBL2132150	chembl2132150	3592.0	CHEMBL2132150	mapped	exact
CHEMBL2132441	chembl2132441	3153.0	CHEMBL2132441	mapped	exact
CHEMBL2132584	chembl2132584	2258.0	CHEMBL2132584	mapped	exact
CHEMBL2133870	chembl2133870	3182.0	CHEMBL2133870	mapped	exact
CHEMBL2134016	chembl2134016	3492.0	CHEMBL2134016	mapped	exact
CHEMBL2134570	chembl2134570	3175.0	CHEMBL2134570	mapped	exact
CHEMBL2134640	chembl2134640	3500.0	CHEMBL2134640	mapped	exact
CHEMBL213634	chembl213634	2273.0	CHEMBL213634	mapped	exact
CHEMBL2136663	chembl2136663	3159.0	CHEMBL2136663	mapped	exact
CHEMBL2137189	chembl2137189	3491.0	CHEMBL2137189	mapped	exact
CHEMBL2138352	chembl2138352	3498.0	CHEMBL2138352	mapped	exact
CHEMBL2138817	chembl2138817	3082.0	CHEMBL2138817	mapped	exact
CHEMBL2140543	chembl2140543	3032.0	CHEMBL2140543	mapped	exact
CHEMBL2140838	chembl2140838	3105.0	CHEMBL2140838	mapped	exact
CHEMBL2140972	chembl2140972	3036.0	CHEMBL2140972	mapped	exact
CHEMBL2141387	chembl2141387	3147.0	CHEMBL2141387	mapped	exact
CHEMBL2141644	chembl2141644	3034.0	CHEMBL2141644	mapped	exact
CHEMBL2142770	chembl2142770	3591.0	CHEMBL2142770	mapped	exact
CHEMBL2143037	chembl2143037	2933.0	CHEMBL2143037	mapped	exact
CHEMBL2144690	chembl2144690	3279.0	CHEMBL2144690	mapped	exact
CHEMBL2325704	chembl2325704	4608.0	CHEMBL2325704	mapped	exact
CHEMBL2337032	chembl2337032	3539.0	CHEMBL2337032	mapped	exact
CHEMBL2426174	chembl2426174	2262.0	CHEMBL2426174	mapped	exact
CHEMBL2441273	chembl2441273	2305.0	CHEMBL2441273	mapped	exact
CHEMBL256963	chembl256963	2137.0	CHEMBL256963	mapped	exact
CHEMBL258622	chembl258622	3421.0	CHEMBL258622	mapped	exact
CHEMBL277800	chembl277800	397.0	CHEMBL277800	mapped	exact
CHEMBL3103000	chembl3103000	2345.0	CHEMBL3103000	mapped	exact
CHEMBL3103040	chembl3103040	2346.0	CHEMBL3103040	mapped	exact
CHEMBL3103191	chembl3103191	4614.0	CHEMBL3103191	mapped	exact
CHEMBL3103192	chembl3103192	4615.0	CHEMBL3103192	mapped	exact
CHEMBL3114578	chembl3114578	2363.0	CHEMBL3114578	mapped	exact
CHEMBL317493	chembl317493	3439.0	CHEMBL317493	mapped	exact
CHEMBL3182364	chembl3182364	4220.0	CHEMBL3182364	mapped	exact
CHEMBL3182641	chembl3182641	3280.0	CHEMBL3182641	mapped	exact
CHEMBL3183697	chembl3183697	3143.0	CHEMBL3183697	mapped	exact
CHEMBL3183888	chembl3183888	3074.0	CHEMBL3183888	mapped	exact
CHEMBL3184303	chembl3184303	3076.0	CHEMBL3184303	mapped	exact
CHEMBL3184387	chembl3184387	3171.0	CHEMBL3184387	mapped	exact
CHEMBL3184424	chembl3184424	3588.0	CHEMBL3184424	mapped	exact
CHEMBL3184655	chembl3184655	3223.0	CHEMBL3184655	mapped	exact
CHEMBL3185999	chembl3185999	2925.0	CHEMBL3185999	mapped	exact
CHEMBL3186547	chembl3186547	3485.0	CHEMBL3186547	mapped	exact
CHEMBL3186716	chembl3186716	3083.0	CHEMBL3186716	mapped	exact
CHEMBL3186846	chembl3186846	3114.0	CHEMBL3186846	mapped	exact
CHEMBL3188521	chembl3188521	3265.0	CHEMBL3188521	mapped	exact
CHEMBL3188552	chembl3188552	3577.0	CHEMBL3188552	mapped	exact
CHEMBL3188661	chembl3188661	3570.0	CHEMBL3188661	mapped	exact
CHEMBL3188944	chembl3188944	3558.0	CHEMBL3188944	mapped	exact
CHEMBL3191144	chembl3191144	3305.0	CHEMBL3191144	mapped	exact
CHEMBL3322515	chembl3322515	3122.0	CHEMBL3322515	mapped	exact
CHEMBL3348822	chembl3348822	3106.0	CHEMBL3348822	mapped	exact
CHEMBL3348824	chembl3348824	3477.0	CHEMBL3348824	mapped	exact
CHEMBL3348825	chembl3348825	8341.0	CHEMBL3348825	mapped	exact
CHEMBL3348829	chembl3348829	3016.0	CHEMBL3348829	mapped	exact
CHEMBL3348835	chembl3348835	3166.0	CHEMBL3348835	mapped	exact
CHEMBL3348838	chembl3348838	3389.0	CHEMBL3348838	mapped	exact
CHEMBL3348841	chembl3348841	3099.0	CHEMBL3348841	mapped	exact
CHEMBL3348843	chembl3348843	3363.0	CHEMBL3348843	mapped	exact
CHEMBL3348847	chembl3348847	3396.0	CHEMBL3348847	mapped	exact
CHEMBL3348848	chembl3348848	3331.0	CHEMBL3348848	mapped	exact
CHEMBL3348849	chembl3348849	3398.0	CHEMBL3348849	mapped	exact
CHEMBL3348850	chembl3348850	8338.0	CHEMBL3348850	mapped	exact
CHEMBL3348853	chembl3348853	3240.0	CHEMBL3348853	mapped	exact
CHEMBL3348857	chembl3348857	2498.0	CHEMBL3348857	mapped	exact
CHEMBL3348858	chembl3348858	3229.0	CHEMBL3348858	mapped	exact
CHEMBL3348860	chembl3348860	3380.0	CHEMBL3348860	mapped	exact
CHEMBL3348869	chembl3348869	3283.0	CHEMBL3348869	mapped	exact
CHEMBL3348870	chembl3348870	3266.0	CHEMBL3348870	mapped	exact
CHEMBL3348871	chembl3348871	3290.0	CHEMBL3348871	mapped	exact
CHEMBL3348872	chembl3348872	3334.0	CHEMBL3348872	mapped	exact
CHEMBL3348874	chembl3348874	3322.0	CHEMBL3348874	mapped	exact
CHEMBL3348877	chembl3348877	3228.0	CHEMBL3348877	mapped	exact
CHEMBL3348879	chembl3348879	3325.0	CHEMBL3348879	mapped	exact
CHEMBL3348881	chembl3348881	3253.0	CHEMBL3348881	mapped	exact
CHEMBL3348883	chembl3348883	2982.0	CHEMBL3348883	mapped	exact
CHEMBL3348884	chembl3348884	3387.0	CHEMBL3348884	mapped	exact
CHEMBL3348885	chembl3348885	3278.0	CHEMBL3348885	mapped	exact
CHEMBL3348886	chembl3348886	3027.0	CHEMBL3348886	mapped	exact
CHEMBL3348887	chembl3348887	2920.0	CHEMBL3348887	mapped	exact
CHEMBL3348888	chembl3348888	3164.0	CHEMBL3348888	mapped	exact
CHEMBL3348890	chembl3348890	2962.0	CHEMBL3348890	mapped	exact
CHEMBL3348891	chembl3348891	3168.0	CHEMBL3348891	mapped	exact
CHEMBL3348892	chembl3348892	3487.0	CHEMBL3348892	mapped	exact
CHEMBL3348894	chembl3348894	2985.0	CHEMBL3348894	mapped	exact
CHEMBL3348895	chembl3348895	3469.0	CHEMBL3348895	mapped	exact
CHEMBL3348899	chembl3348899	3418.0	CHEMBL3348899	mapped	exact
CHEMBL3348900	chembl3348900	3352.0	CHEMBL3348900	mapped	exact
CHEMBL3348901	chembl3348901	8361.0	CHEMBL3348901	mapped	exact
CHEMBL3348905	chembl3348905	3347.0	CHEMBL3348905	mapped	exact
CHEMBL3348910	chembl3348910	3410.0	CHEMBL3348910	mapped	exact
CHEMBL3348914	chembl3348914	3401.0	CHEMBL3348914	mapped	exact
CHEMBL3348916	chembl3348916	3299.0	CHEMBL3348916	mapped	exact
CHEMBL3348918	chembl3348918	3480.0	CHEMBL3348918	mapped	exact
CHEMBL3348919	chembl3348919	3067.0	CHEMBL3348919	mapped	exact
CHEMBL3348922	chembl3348922	3216.0	CHEMBL3348922	mapped	exact
CHEMBL3348924	chembl3348924	3457.0	CHEMBL3348924	mapped	exact
CHEMBL3348925	chembl3348925	3321.0	CHEMBL3348925	mapped	exact
CHEMBL3348926	chembl3348926	3397.0	CHEMBL3348926	mapped	exact
CHEMBL3348927	chembl3348927	3565.0	CHEMBL3348927	mapped	exact
CHEMBL3348928	chembl3348928	3330.0	CHEMBL3348928	mapped	exact
CHEMBL3348929	chembl3348929	3582.0	CHEMBL3348929	mapped	exact
CHEMBL3348930	chembl3348930	3296.0	CHEMBL3348930	mapped	exact
CHEMBL3348931	chembl3348931	2954.0	CHEMBL3348931	mapped	exact
CHEMBL3348934	chembl3348934	3407.0	CHEMBL3348934	mapped	exact
CHEMBL3348935	chembl3348935	3408.0	CHEMBL3348935	mapped	exact
CHEMBL3348941	chembl3348941	3486.0	CHEMBL3348941	mapped	exact
CHEMBL3348942	chembl3348942	3358.0	CHEMBL3348942	mapped	exact
CHEMBL3348944	chembl3348944	3349.0	CHEMBL3348944	mapped	exact
CHEMBL3348946	chembl3348946	3372.0	CHEMBL3348946	mapped	exact
CHEMBL3348947	chembl3348947	3406.0	CHEMBL3348947	mapped	exact
CHEMBL3348948	chembl3348948	3479.0	CHEMBL3348948	mapped	exact
CHEMBL3348949	chembl3348949	3172.0	CHEMBL3348949	mapped	exact
CHEMBL3348950	chembl3348950	3555.0	CHEMBL3348950	mapped	exact
CHEMBL3348952	chembl3348952	3433.0	CHEMBL3348952	mapped	exact
CHEMBL3348953	chembl3348953	3476.0	CHEMBL3348953	mapped	exact
CHEMBL3348954	chembl3348954	2984.0	CHEMBL3348954	mapped	exact
CHEMBL3348955	chembl3348955	3320.0	CHEMBL3348955	mapped	exact
CHEMBL3348956	chembl3348956	2997.0	CHEMBL3348956	mapped	exact
CHEMBL3348959	chembl3348959	2983.0	CHEMBL3348959	mapped	exact
CHEMBL3348961	chembl3348961	3316.0	CHEMBL3348961	mapped	exact
CHEMBL3348966	chembl3348966	8329.0	CHEMBL3348966	mapped	exact
CHEMBL3348967	chembl3348967	3400.0	CHEMBL3348967	mapped	exact
CHEMBL3348973	chembl3348973	3155.0	CHEMBL3348973	mapped	exact
CHEMBL3348974	chembl3348974	3061.0	CHEMBL3348974	mapped	exact
CHEMBL3348975	chembl3348975	2988.0	CHEMBL3348975	mapped	exact
CHEMBL3348980	chembl3348980	3041.0	CHEMBL3348980	mapped	exact
CHEMBL3348982	chembl3348982	3404.0	CHEMBL3348982	mapped	exact
CHEMBL3348985	chembl3348985	3052.0	CHEMBL3348985	mapped	exact
CHEMBL3348986	chembl3348986	8335.0	CHEMBL3348986	mapped	exact
CHEMBL3348987	chembl3348987	3209.0	CHEMBL3348987	mapped	exact
CHEMBL3348988	chembl3348988	3302.0	CHEMBL3348988	mapped	exact
CHEMBL3348989	chembl3348989	3348.0	CHEMBL3348989	mapped	exact
CHEMBL3348991	chembl3348991	3151.0	CHEMBL3348991	mapped	exact
CHEMBL3348995	chembl3348995	3200.0	CHEMBL3348995	mapped	exact
CHEMBL3348997	chembl3348997	3246.0	CHEMBL3348997	mapped	exact
CHEMBL3349002	chembl3349002	3026.0	CHEMBL3349002	mapped	exact
CHEMBL3349004	chembl3349004	3268.0	CHEMBL3349004	mapped	exact
CHEMBL3349010	chembl3349010	3393.0	CHEMBL3349010	mapped	exact
CHEMBL3349012	chembl3349012	3386.0	CHEMBL3349012	mapped	exact
CHEMBL3349014	chembl3349014	8348.0	CHEMBL3349014	mapped	exact
CHEMBL3349015	chembl3349015	2980.0	CHEMBL3349015	mapped	exact
CHEMBL3392636	chembl3392636	3496.0	CHEMBL3392636	mapped	exact
CHEMBL3417706	chembl3417706	3566.0	CHEMBL3417706	mapped	exact
CHEMBL3426805	chembl3426805	2320.0	CHEMBL3426805	mapped	exact
CHEMBL34450	chembl34450	2995.0	CHEMBL34450	mapped	exact
CHEMBL359618	chembl359618	3999.0	CHEMBL359618	mapped	exact
CHEMBL3695811	chembl3695811	4034.0	CHEMBL3695811	mapped	exact
CHEMBL3814532	chembl3814532	3121.0	CHEMBL3814532	mapped	exact
CHEMBL3856066	chembl3856066	8371.0	CHEMBL3856066	mapped	exact
CHEMBL3856067	chembl3856067	2998.0	CHEMBL3856067	mapped	exact
CHEMBL387477	chembl387477	3430.0	CHEMBL387477	mapped	exact
CHEMBL3923667	chembl3923667	3090.0	CHEMBL3923667	mapped	exact
CHEMBL3972653	chembl3972653	2921.0	CHEMBL3972653	mapped	exact
CHEMBL39740	chembl39740	2145.0	CHEMBL39740	mapped	exact
CHEMBL4062204	chembl4062204	3866.0	CHEMBL4062204	mapped	exact
CHEMBL416657	chembl416657	3272.0	CHEMBL416657	mapped	exact
CHEMBL4303286	chembl4303286	3169.0	CHEMBL4303286	mapped	exact
CHEMBL431383	chembl431383	3243.0	CHEMBL431383	mapped	exact
CHEMBL492193	chembl492193	3452.0	CHEMBL492193	mapped	exact
CHEMBL494027	chembl494027	2698.0	CHEMBL494027	mapped	exact
CHEMBL502156	chembl502156	2287.0	CHEMBL502156	mapped	exact
CHEMBL574181	chembl574181	3593.0	CHEMBL574181	mapped	exact
CHEMBL75474	chembl75474	2972.0	CHEMBL75474	mapped	exact
CHIR-124	chir-124	1660.0	CHIR-124	mapped	exact
CHIR-98014	chir-98014	1967.0	CHIR-98014	mapped	exact
CHIR-98023	chir-98023	2300.0	CHIR-98023	mapped	exact
CHIR-99021	chir-99021	2098.0	CHIR-99021	mapped	exact
CHIR-99021 HCl	chir-99021 hcl	2032.0	CHIR-99021 HCl	mapped	exact
CHLORAMPHENICOL PALMITATE	chloramphenicol palmitate	2829.0	CHLORAMPHENICOL PALMITATE	mapped	exact
CHLOROGENIC ACID	chlorogenic acid	1246.0	CHLOROGENIC ACID	mapped	exact
CHOLINE CHLORIDE	choline chloride	683.0	CHOLINE CHLORIDE	mapped	exact
CHZ868	chz868	3716.0	CHZ868	mapped	exact
CI-966	ci-966	4038.0	CI-966	mapped	exact
CI-988	ci-988	2790.0	CI-988	mapped	exact
CICLOPIROX	ciclopirox	491.0	CICLOPIROX	mapped	exact
CILAZAPRIL MONOHYDRATE	cilazapril monohydrate	857.0	CILAZAPRIL MONOHYDRATE	mapped	exact
CINCHONIDINE	cinchonidine	1006.0	CINCHONIDINE	mapped	exact
CITCO	citco	2175.0	CITCO	mapped	exact
CLEMASTINE FUMARATE	clemastine fumarate	1326.0	CLEMASTINE FUMARATE	mapped	exact
CLOBETASOL PROPIONATE	clobetasol propionate	805.0	CLOBETASOL PROPIONATE	mapped	exact
CLONIDINE HYDROCHLORIDE	clonidine hydrochloride	779.0	CLONIDINE HYDROCHLORIDE	mapped	exact
CLORSULON	clorsulon	825.0	CLORSULON	mapped	exact
CNX-2006	cnx-2006	3680.0	CNX-2006	mapped	exact
CNX-774	cnx-774	2018.0	CNX-774	mapped	exact
CORTISONE ACETATE	cortisone acetate	647.0	CORTISONE ACETATE	mapped	exact
CP 346086	cp 346086	2445.0	CP 346086	mapped	exact
CP-673451	cp-673451	1585.0	CP-673451	mapped	exact
CP-724714	cp-724714	1530.0	CP-724714	mapped	exact
CP-91149	cp-91149	1520.0	CP-91149	mapped	exact
CPG-52364	cpg-52364	2259.0	CPG-52364	mapped	exact
CPI-1189	cpi-1189	3751.0	CPI-1189	mapped	exact
CPI-1205	cpi-1205	3865.0	CPI-1205	mapped	exact
CPI-169 racemate	cpi-169 racemate	3868.0	CPI-169 racemate	mapped	exact
CPI-203	cpi-203	4168.0	CPI-203	mapped	exact
CPI-360	cpi-360	3870.0	CPI-360	mapped	exact
CPI-4203	cpi-4203	3850.0	CPI-4203	mapped	exact
CPI-444	cpi-444	4097.0	CPI-444	mapped	exact
CPI-455	cpi-455	3853.0	CPI-455	mapped	exact
CPI-613	cpi-613	1819.0	CPI-613	mapped	exact
CPI-637	cpi-637	3860.0	CPI-637	mapped	exact
CPI703	cpi703	2322.0	CPI703	mapped	exact
CROMOLYN SODIUM	cromolyn sodium	4182.0	CROMOLYN SODIUM	mapped	exact
CRTh2 antagonist 2	crth2 antagonist 2	2867.0	CRTh2 antagonist 2	mapped	exact
CTEP	ctep	1679.0	CTEP	mapped	exact
CTK8E8456	ctk8e8456	3092.0	CTK8E8456	mapped	exact
CTK9A1709	ctk9a1709	3078.0	CTK9A1709	mapped	exact
CTS-1027	cts-1027	3951.0	CTS-1027	mapped	exact
CUDC-101	cudc-101	1816.0	CUDC-101	mapped	exact
CUDC-427	cudc-427	3609.0	CUDC-427	mapped	exact
CUDC-907	cudc-907	1970.0	CUDC-907	mapped	exact
CVT-313	cvt-313	2394.0	CVT-313	mapped	exact
CVT-6883	cvt-6883	2792.0	CVT-6883	mapped	exact
CX-5461	cx-5461	2610.0	CX-5461	mapped	exact
CX-6258	cx-6258	3783.0	CX-6258	mapped	exact
CXC-195	cxc-195	4023.0	CXC-195	mapped	exact
CYCLOPAMINE	cyclopamine	2132.0	CYCLOPAMINE	mapped	exact
CYP3cide	cyp3cide	2034.0	CYP3cide	mapped	exact
CYPROHEPTADINE	cyproheptadine	3204.0	CYPROHEPTADINE	mapped	exact
CYPROTERONE ACETATE	cyproterone acetate	732.0	CYPROTERONE ACETATE	mapped	exact
CYROMAZINE	cyromazine	834.0	CYROMAZINE	mapped	exact
CYTARABINE HYDROCHLORIDE	cytarabine hydrochloride	57.0	CYTARABINE HYDROCHLORIDE	mapped	exact
CYTISINE	cytisine	740.0	CYTISINE	mapped	exact
CZC24832	czc24832	1878.0	CZC24832	mapped	exact
Cabozantinib	cabozantinib	1858.0	Cabozantinib	mapped	exact
Caffeic acid phenethyl ester	caffeic acid phenethyl ester	1342.0	Caffeic acid phenethyl ester	mapped	exact
Caffeine citrate	caffeine citrate	3448.0	Caffeine citrate	mapped	exact
Calcifediol	calcifediol	1362.0	Calcifediol	mapped	exact
Calmidazolium	calmidazolium	3154.0	Calmidazolium	mapped	exact
Camostat	camostat	2720.0	Camostat	mapped	exact
Camostat mesylate	camostat mesylate	1365.0	Camostat mesylate	mapped	exact
Canadine	canadine	2765.0	Canadine	mapped	exact
Canagliflozin	canagliflozin	1832.0	Canagliflozin	mapped	exact
Candesartan cilexetil	candesartan cilexetil	478.0	Candesartan cilexetil	mapped	exact
Canertinib	canertinib	1065.0	Canertinib	mapped	exact
Capecitabine (Xeloda)	capecitabine (xeloda)	3309.0	Capecitabine (Xeloda)	mapped	exact
Capsaicin	capsaicin	3746.0	Capsaicin	mapped	exact
Carbenicillin disodium	carbenicillin disodium	781.0	Carbenicillin disodium	mapped	exact
Carbimazole	carbimazole	798.0	Carbimazole	mapped	exact
Carboplatin Paclitaxel	carboplatin paclitaxel	4612.0	Carboplatin Paclitaxel	mapped	exact
Carboplatinum	carboplatinum	6.0	Carboplatinum	mapped	exact
Carboxyamidotriazole	carboxyamidotriazole	2776.0	Carboxyamidotriazole	mapped	exact
Cardamonin	cardamonin	4662.0	Cardamonin	mapped	exact
Cardiogenol C	cardiogenol c	2360.0	Cardiogenol C	mapped	exact
Carfilzomib	carfilzomib	1665.0	Carfilzomib	mapped	exact
Carglumic acid	carglumic acid	272.0	Carglumic acid	mapped	exact
Caroverine	caroverine	2603.0	Caroverine	mapped	exact
Caspofungin acetate	caspofungin acetate	1462.0	Caspofungin acetate	mapped	exact
Catharanthine	catharanthine	1413.0	Catharanthine	mapped	exact
Cathepsin inhibitor 1	cathepsin inhibitor 1	1892.0	Cathepsin inhibitor 1	mapped	exact
Cdk/Crk Inhibitor	cdk/crk inhibitor	2686.0	Cdk/Crk Inhibitor	mapped	exact
Cdk4/6 Inhibitor IV	cdk4/6 inhibitor iv	3513.0	Cdk4/6 Inhibitor IV	mapped	exact
Cebranopadol	cebranopadol	2604.0	Cebranopadol	mapped	exact
Cediranib	cediranib	1558.0	Cediranib	mapped	exact
Cefoselis sulfate	cefoselis sulfate	1835.0	Cefoselis sulfate	mapped	exact
Cefotiam hcl	cefotiam hcl	5454.0	Cefotiam hcl	mapped	exact
Cefprozil monohydrate	cefprozil monohydrate	2839.0	Cefprozil monohydrate	mapped	exact
Ceftiofur	ceftiofur	3342.0	Ceftiofur	mapped	exact
