training_name	normalized_name	drugcomb_id	drugcomb_reference_name	mapping_status	match_type
108740-89-2	108740-89-2	2313.0	108740-89-2	mapped	exact
1093403-33-8	1093403-33-8	3846.0	1093403-33-8	mapped	exact
1095382-05-0	1095382-05-0	1863.0	1095382-05-0	mapped	exact
1096708-71-2	1096708-71-2	2464.0	1096708-71-2	mapped	exact
11-cis Retinoic Acid	11-cis retinoic acid	3195.0	11-cis Retinoic Acid	mapped	exact
110025-28-0	110025-28-0	3149.0	110025-28-0	mapped	exact
1101810-02-9	1101810-02-9	3743.0	1101810-02-9	mapped	exact
110448-33-4	110448-33-4	3739.0	110448-33-4	mapped	exact
1111636-35-1	1111636-35-1	1966.0	1111636-35-1	mapped	exact
1118807-13-8	1118807-13-8	1492.0	1118807-13-8	mapped	exact
1124329-14-1	1124329-14-1	2004.0	1124329-14-1	mapped	exact
112648-68-7	112648-68-7	2265.0	112648-68-7	mapped	exact
1134156-31-2	1134156-31-2	2156.0	1134156-31-2	mapped	exact
1144068-46-1	1144068-46-1	1874.0	1144068-46-1	mapped	exact
1149705-71-4	1149705-71-4	2504.0	1149705-71-4	mapped	exact
1155877-97-6	1155877-97-6	2574.0	1155877-97-6	mapped	exact
1161205-04-4	1161205-04-4	1887.0	1161205-04-4	mapped	exact
1166227-08-2	1166227-08-2	1879.0	1166227-08-2	mapped	exact
1169562-71-3	1169562-71-3	3659.0	1169562-71-3	mapped	exact
117048-62-1	117048-62-1	3037.0	117048-62-1	mapped	exact
1174046-72-0	1174046-72-0	1885.0	1174046-72-0	mapped	exact
1194044-20-6	1194044-20-6	1897.0	1194044-20-6	mapped	exact
1201902-80-8	1201902-80-8	1948.0	1201902-80-8	mapped	exact
1202884-94-3	1202884-94-3	2084.0	1202884-94-3	mapped	exact
1206101-20-3	1206101-20-3	2707.0	1206101-20-3	mapped	exact
121268-17-5	121268-17-5	4204.0	121268-17-5	mapped	exact
1214265-56-1	1214265-56-1	1902.0	1214265-56-1	mapped	exact
1218942-37-0	1218942-37-0	2531.0	1218942-37-0	mapped	exact
122111-05-1	122111-05-1	398.0	122111-05-1	mapped	exact
1221186-53-3	1221186-53-3	2276.0	1221186-53-3	mapped	exact
1222781-70-5	1222781-70-5	1896.0	1222781-70-5	mapped	exact
1224844-38-5	1224844-38-5	1909.0	1224844-38-5	mapped	exact
1231930-82-7	1231930-82-7	2038.0	1231930-82-7	mapped	exact
1233948-35-0	1233948-35-0	3932.0	1233948-35-0	mapped	exact
1243244-14-5	1243244-14-5	1927.0	1243244-14-5	mapped	exact
1246086-78-1	1246086-78-1	1933.0	1246086-78-1	mapped	exact
1247819-59-5	1247819-59-5	1932.0	1247819-59-5	mapped	exact
124936-75-0	124936-75-0	2978.0	124936-75-0	mapped	exact
1252806-86-2	1252806-86-2	2215.0	1252806-86-2	mapped	exact
125316-60-1	125316-60-1	2168.0	125316-60-1	mapped	exact
1260907-17-2	1260907-17-2	1935.0	1260907-17-2	mapped	exact
1262770-73-9	1262770-73-9	2961.0	1262770-73-9	mapped	exact
1265229-25-1	1265229-25-1	3686.0	1265229-25-1	mapped	exact
1265789-88-5	1265789-88-5	2113.0	1265789-88-5	mapped	exact
1268524-70-4	1268524-70-4	1925.0	1268524-70-4	mapped	exact
128517-07-7	128517-07-7	3183.0	128517-07-7	mapped	exact
129-56-6	129-56-6	709.0	129-56-6	mapped	exact
1300031-49-5	1300031-49-5	1961.0	1300031-49-5	mapped	exact
1309805-49-9	1309805-49-9	2271.0	1309805-49-9	mapped	exact
1314241-44-5	1314241-44-5	2484.0	1314241-44-5	mapped	exact
1316214-52-4	1316214-52-4	1965.0	1316214-52-4	mapped	exact
131707-23-8	131707-23-8	1568.0	131707-23-8	mapped	exact
131848-97-0	131848-97-0	2701.0	131848-97-0	mapped	exact
13292-46-1	13292-46-1	3063.0	13292-46-1	mapped	exact
133294-37-8	133294-37-8	3273.0	133294-37-8	mapped	exact
133550-30-8	133550-30-8	1394.0	133550-30-8	mapped	exact
1338259-05-4	1338259-05-4	2763.0	1338259-05-4	mapped	exact
134036-52-5	134036-52-5	3161.0	134036-52-5	mapped	exact
13463-41-7	13463-41-7	2054.0	13463-41-7	mapped	exact
1346528-06-0	1346528-06-0	2544.0	1346528-06-0	mapped	exact
134680-32-3	134680-32-3	3298.0	134680-32-3	mapped	exact
1357171-62-0	1357171-62-0	2541.0	1357171-62-0	mapped	exact
1359164-11-6	1359164-11-6	4112.0	1359164-11-6	mapped	exact
1370261-97-4	1370261-97-4	2000.0	1370261-97-4	mapped	exact
1392399-03-9	1392399-03-9	1936.0	1392399-03-9	mapped	exact
14003-96-4	14003-96-4	1707.0	14003-96-4	mapped	exact
1421227-52-2	1421227-52-2	3136.0	1421227-52-2	mapped	exact
1423715-09-6	1423715-09-6	3855.0	1423715-09-6	mapped	exact
1429617-90-2	1429617-90-2	2297.0	1429617-90-2	mapped	exact
1431985-92-0	1431985-92-0	1911.0	1431985-92-0	mapped	exact
143945-86-2	143945-86-2	3414.0	143945-86-2	mapped	exact
1439901-97-9	1439901-97-9	2289.0	1439901-97-9	mapped	exact
14402-89-2	14402-89-2	1704.0	14402-89-2	mapped	exact
1440754-12-0	1440754-12-0	2931.0	1440754-12-0	mapped	exact
1442472-39-0	1442472-39-0	3756.0	1442472-39-0	mapped	exact
145-13-1	145-13-1	3395.0	145-13-1	mapped	exact
145986-26-1	145986-26-1	3297.0	145986-26-1	mapped	exact
146535-11-7	146535-11-7	449.0	146535-11-7	mapped	exact
147859-80-1	147859-80-1	3595.0	147859-80-1	mapped	exact
14807-96-6	14807-96-6	1736.0	14807-96-6	mapped	exact
1485-00-3	1485-00-3	1211.0	1485-00-3	mapped	exact
14913-33-8	14913-33-8	4653.0	14913-33-8	mapped	exact
15(S)-Fluprostenol isopropyl ester	15(s)-fluprostenol isopropyl ester	3431.0	15(S)-Fluprostenol isopropyl ester	mapped	exact
152121-47-6	152121-47-6	1094.0	152121-47-6	mapped	exact
152121-53-4	152121-53-4	3752.0	152121-53-4	mapped	exact
153436-54-5	153436-54-5	2646.0	153436-54-5	mapped	exact
153559-76-3	153559-76-3	2167.0	153559-76-3	mapped	exact
154447-35-5	154447-35-5	1523.0	154447-35-5	mapped	exact
154447-36-6	154447-36-6	551.0	154447-36-6	mapped	exact
155148-31-5	155148-31-5	3971.0	155148-31-5	mapped	exact
155206-00-1	155206-00-1	2989.0	155206-00-1	mapped	exact
1554458-53-5	1554458-53-5	3677.0	1554458-53-5	mapped	exact
155584-74-0	155584-74-0	1811.0	155584-74-0	mapped	exact
158798-73-3	158798-73-3	400.0	158798-73-3	mapped	exact
159351-69-6	159351-69-6	1929.0	159351-69-6	mapped	exact
1607837-31-9	1607837-31-9	3663.0	1607837-31-9	mapped	exact
1616392-22-3	1616392-22-3	3875.0	1616392-22-3	mapped	exact
1616632-77-9	1616632-77-9	2047.0	1616632-77-9	mapped	exact
1627696-51-8	1627696-51-8	3660.0	1627696-51-8	mapped	exact
164178-33-0	164178-33-0	2797.0	164178-33-0	mapped	exact
164658-13-3	164658-13-3	2687.0	164658-13-3	mapped	exact
167465-36-3	167465-36-3	1060.0	167465-36-3	mapped	exact
1675203-84-5	1675203-84-5	4014.0	1675203-84-5	mapped	exact
167869-21-8	167869-21-8	588.0	167869-21-8	mapped	exact
17-DMAG (Alvespimycin) HCl	17-dmag (alvespimycin) hcl	1773.0	17-DMAG (Alvespimycin) HCl	mapped	exact
17-Hydroxypregn-4-en-20-yn-3-one	17-hydroxypregn-4-en-20-yn-3-one	3411.0	17-Hydroxypregn-4-en-20-yn-3-one	mapped	exact
170151-24-3	170151-24-3	4141.0	170151-24-3	mapped	exact
171927-40-5	171927-40-5	4188.0	171927-40-5	mapped	exact
172889-26-8	172889-26-8	439.0	172889-26-8	mapped	exact
172889-27-9	172889-27-9	601.0	172889-27-9	mapped	exact
176977-56-3	176977-56-3	2219.0	176977-56-3	mapped	exact
178606-66-1	178606-66-1	1120.0	178606-66-1	mapped	exact
180083-23-2	180083-23-2	2206.0	180083-23-2	mapped	exact
1809249-37-3	1809249-37-3	8385.0	1809249-37-3	mapped	exact
183321-86-0	183321-86-0	3077.0	183321-86-0	mapped	exact
185039-99-0	185039-99-0	3517.0	185039-99-0	mapped	exact
1869912-40-2	1869912-40-2	3886.0	1869912-40-2	mapped	exact
193611-72-2	193611-72-2	1536.0	193611-72-2	mapped	exact
193746-75-7	193746-75-7	2449.0	193746-75-7	mapped	exact
1986-47-6	1986-47-6	1251.0	1986-47-6	mapped	exact
199433-58-4	199433-58-4	2468.0	199433-58-4	mapped	exact
1H-Indole-5-carboxamide	1h-indole-5-carboxamide	2673.0	1H-Indole-5-carboxamide	mapped	exact
1beta-Methylimipenem	1beta-methylimipenem	3333.0	1beta-Methylimipenem	mapped	exact
2',3'-Dideoxycytidine 5'-triphosphate	2',3'-dideoxycytidine 5'-triphosphate	365.0	2',3'-Dideoxycytidine 5'-triphosphate	mapped	exact
2,4,5-TRIMETHOXYBENZALDEHYDE	2,4,5-trimethoxybenzaldehyde	780.0	2,4,5-TRIMETHOXYBENZALDEHYDE	mapped	exact
2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-1,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-1,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	8369.0	2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-1,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	mapped	exact
2-(aminomethyl)-3,5-ditert-butylphenol	2-(aminomethyl)-3,5-ditert-butylphenol	8344.0	2-(aminomethyl)-3,5-ditert-butylphenol	mapped	exact
2-AMINOTHIAZOLE	2-aminothiazole	455.0	2-AMINOTHIAZOLE	mapped	exact
2-Cl-IB-Meca	2-cl-ib-meca	4098.0	2-Cl-IB-Meca	mapped	exact
2-Cyanopyrimidine	2-cyanopyrimidine	7285.0	2-Cyanopyrimidine	mapped	exact
2-Deoxy-D-galactopyranose	2-deoxy-d-galactopyranose	3551.0	2-Deoxy-D-galactopyranose	mapped	exact
2-Fluoroadenosine	2-fluoroadenosine	2496.0	2-Fluoroadenosine	mapped	exact
2-Methoxyestradiol	2-methoxyestradiol	926.0	2-Methoxyestradiol	mapped	exact
2-Nitroimidazole	2-nitroimidazole	746.0	2-Nitroimidazole	mapped	exact
2-amino-5-chloro-3-(2-ethoxy-5-fluorophenyl)-3H-indol-3-ol	2-amino-5-chloro-3-(2-ethoxy-5-fluorophenyl)-3h-indol-3-ol	8343.0	2-amino-5-chloro-3-(2-ethoxy-5-fluorophenyl)-3H-indol-3-ol	mapped	exact
2-iminobiotin	2-iminobiotin	2528.0	2-iminobiotin	mapped	exact
